county_name,state_id,size_10
emmet,IA,2.3
emmons,ND,2.2
emporia city,VA,2.36
erath,TX,2.54
erie,PA,2.46
erie,OH,2.38
erie,NY,2.36
escambia,AL,2.51
escambia,FL,2.44
esmeralda,NV,1.76
essex,NJ,2.74
essex,MA,2.55
essex,VA,2.41
essex,VT,2.24
essex,NY,2.23
estill,KY,2.61
etowah,AL,2.46
eureka,NV,2.38
evangeline parish,LA,2.64
evans,GA,2.6
fairfax,VA,2.73
fairfax city,VA,2.52
fairfield,CT,2.66
fairfield,OH,2.63
fairfield,SC,2.58
fall river,SD,1.92
fallon,MT,2.36
falls,TX,2.89
falls church city,VA,2.44
fannin,TX,2.71
fannin,GA,2.21
faribault,MN,2.31
faulk,SD,2.6
faulkner,AR,2.53
fauquier,VA,2.86
fayette,GA,2.78
fayette,TN,2.72
fayette,IL,2.66
fayette,OH,2.46
fayette,IN,2.43
fayette,PA,2.43
fayette,WV,2.43
fayette,AL,2.39
fayette,IA,2.38
fayette,KY,2.29
fayette,TX,2.2
fentress,TN,2.42
fergus,MT,2.26
ferry,WA,2.72
fillmore,MN,2.39
fillmore,NE,2.17
finney,KS,2.98
fisher,TX,2.37
flagler,FL,2.52
flathead,MT,2.43
fleming,KY,2.55
florence,SC,2.54
florence,WI,2.21
floyd,GA,2.63
floyd,TX,2.52
floyd,IN,2.5
floyd,KY,2.48
floyd,VA,2.37
floyd,IA,2.35
fluvanna,VA,2.66
foard,TX,2.43
fond du lac,WI,2.43
ford,KS,2.95
ford,IL,2.38
forest,PA,2.69
forest,WI,2.16
forrest,MS,2.52
forsyth,GA,2.95
forsyth,NC,2.44
fort bend,TX,3.2
foster,ND,2.25
fountain,IN,2.46
franklin,WA,3.29
franklin,ID,3.06
franklin,TX,2.84
franklin,IN,2.75
franklin,MS,2.71
franklin,AR,2.69
franklin,MO,2.59
franklin,VT,2.54
franklin,GA,2.5
franklin,IA,2.5
franklin,NC,2.5
franklin,TN,2.5
franklin,AL,2.49
franklin,KS,2.49
franklin,PA,2.46
franklin,OH,2.44
franklin,IL,2.41
franklin,ME,2.34
franklin,NY,2.34
franklin,MA,2.32
franklin,VA,2.3
franklin,KY,2.25
franklin,NE,2.25
franklin,FL,2.19
franklin city,VA,2.36
franklin parish,LA,2.51
frederick,MD,2.68
frederick,VA,2.61
fredericksburg city,VA,2.27
freeborn,MN,2.31
freestone,TX,2.49
fremont,ID,2.88
fremont,WY,2.46
fremont,IA,2.38
fremont,CO,2.04
fresno,CA,3.14
frio,TX,3.13
frontier,NE,2.43
fulton,OH,2.59
fulton,PA,2.54
fulton,AR,2.47
fulton,IN,2.4
fulton,GA,2.39
fulton,IL,2.34
fulton,NY,2.31
fulton,KY,2.22
furnas,NE,2.3
gadsden,FL,2.63
gage,NE,2.42
gaines,TX,3.11
galax city,VA,1.95
gallatin,KY,2.75
gallatin,IL,2.4
gallatin,MT,2.34
gallia,OH,2.44
galveston,TX,2.64
garden,NE,1.99
garfield,CO,2.7
garfield,MT,2.42
garfield,OK,2.42
garfield,WA,2.39
garfield,UT,2.32
garfield,NE,2.31
garland,AR,2.33
garrard,KY,2.67
garrett,MD,2.42
garvin,OK,2.64
garza,TX,2.7
gasconade,MO,2.36
gaston,NC,2.59
gates,NC,2.66
geary,KS,2.66
geauga,OH,2.68
gem,ID,2.56
genesee,MI,2.53
genesee,NY,2.48
geneva,AL,2.44
gentry,MO,2.47
george,MS,2.72
georgetown,SC,2.67
gibson,IN,2.5
gibson,TN,2.47
gila,AZ,2.65
gilchrist,FL,2.63
giles,TN,2.49
giles,VA,2.39
gillespie,TX,2.27
gilliam,OR,2.03
gilmer,GA,2.37
gilmer,WV,2.37
gilpin,CO,2.02
glacier,MT,3.09
glades,FL,2.79
gladwin,MI,2.27
glascock,GA,2.48
glasscock,TX,3.06
glenn,CA,2.89
gloucester,NJ,2.73
gloucester,VA,2.58
glynn,GA,2.51
gogebic,MI,2.07
golden valley,MT,2.43
golden valley,ND,2.06
goliad,TX,2.44
gonzales,TX,2.66
goochland,VA,2.33
goodhue,MN,2.41
gooding,ID,2.71
gordon,GA,2.77
goshen,WY,2.3
gosper,NE,2.5
gove,KS,2.29
grady,OK,2.62
grady,GA,2.61
grafton,NH,2.4
graham,AZ,2.99
graham,KS,2.29
graham,NC,2.28
grainger,TN,2.55
grand,CO,2.71
grand,UT,2.39
grand forks,ND,2.37
grand isle,VT,2.31
grand traverse,MI,2.4
granite,MT,2.08
grant,WA,2.84
grant,KS,2.79
grant,KY,2.75
grant,AR,2.58
grant,IN,2.47
grant,WI,2.44
grant,OK,2.42
grant,WV,2.42
grant,NM,2.34
grant,NE,2.26
grant,SD,2.23
grant,MN,2.21
grant,OR,2.19
grant,ND,2.04
grant parish,LA,2.67
granville,NC,2.72
gratiot,MI,2.58
graves,KY,2.47
gray,KS,2.86
gray,TX,2.46
grays harbor,WA,2.47
grayson,KY,2.56
grayson,TX,2.55
grayson,VA,2.28
greeley,KS,2.53
greeley,NE,2.5
green,KY,2.53
green,WI,2.47
green lake,WI,2.4
greenbrier,WV,2.26
greene,NC,2.72
greene,MS,2.65
greene,VA,2.65
greene,GA,2.59
greene,PA,2.58
greene,AL,2.57
greene,AR,2.52
greene,IN,2.5
greene,NY,2.44
greene,OH,2.43
greene,IL,2.38
greene,TN,2.35
greene,MO,2.28
greene,IA,2.25
greenlee,AZ,2.5
greensville,VA,2.93
greenup,KY,2.54
greenville,SC,2.48
greenwood,SC,2.57
greenwood,KS,2.24
greer,OK,2.16
gregg,TX,2.6
gregory,SD,2.11
grenada,MS,2.39
griggs,ND,2.16
grimes,TX,2.7
grundy,IL,2.71
grundy,TN,2.62
grundy,IA,2.43
grundy,MO,2.33
guadalupe,TX,2.84
guadalupe,NM,2.5
guernsey,OH,2.47
guilford,NC,2.43
gulf,FL,2.5
gunnison,CO,2.26
guthrie,IA,2.32
gwinnett,GA,2.97
haakon,SD,2.19
habersham,GA,2.52
hale,TX,2.8
hale,AL,2.76
halifax,NC,2.5
halifax,VA,2.45
hall,GA,2.83
hall,NE,2.57
hall,TX,2.37
hamblen,TN,2.5
hamilton,IN,2.72
hamilton,TX,2.72
hamilton,NE,2.64
hamilton,FL,2.58
hamilton,TN,2.4
hamilton,IL,2.39
hamilton,OH,2.39
hamilton,IA,2.37
hamilton,KS,2.27
hamilton,NY,2.02
hamlin,SD,2.82
hampden,MA,2.51
hampshire,WV,2.36
hampshire,MA,2.3
hampton,SC,2.74
hampton city,VA,2.54
hancock,GA,2.73
hancock,MS,2.66
hancock,IN,2.64
hancock,KY,2.62
hancock,IL,2.38
hancock,IA,2.38
hancock,OH,2.37
hancock,WV,2.29
hancock,ME,2.26
hancock,TN,2.21
hand,SD,2.19
hanover,VA,2.69
hansford,TX,2.77
hanson,SD,2.93
haralson,GA,2.63
hardee,FL,3.26
hardeman,TN,2.62
hardeman,TX,2.53
hardin,TX,2.68
hardin,KY,2.58
hardin,OH,2.54
hardin,TN,2.46
hardin,IL,2.28
hardin,IA,2.28
harding,NM,2.94
harding,SD,2.36
hardy,WV,2.83
harford,MD,2.69
harlan,KY,2.75
harlan,NE,2.23
harmon,OK,2.45
harnett,NC,2.67
harney,OR,2.14
harper,OK,2.3
harper,KS,2.19
harris,TX,2.85
harris,GA,2.72
harrison,TX,2.72
harrison,IN,2.68
harrison,MS,2.65
harrison,KY,2.55
harrison,MO,2.49
harrison,OH,2.46
harrison,WV,2.44
harrison,IA,2.42
harrisonburg city,VA,2.56
hart,GA,2.56
hart,KY,2.53
hartford,CT,2.48
hartley,TX,2.61
harvey,KS,2.47
haskell,KS,3.03
haskell,OK,2.63
haskell,TX,2.29
hawkins,TN,2.37
hayes,NE,2.33
hays,TX,2.71
haywood,TN,2.53
haywood,NC,2.18
heard,GA,2.72
hemphill,TX,2.39
hempstead,AR,2.49
henderson,TX,2.52
henderson,TN,2.49
henderson,KY,2.43
henderson,IL,2.28
henderson,NC,2.26
hendricks,IN,2.69
hendry,FL,3.13
hennepin,MN,2.34
henrico,VA,2.43
henry,GA,2.91
henry,IA,2.59
henry,KY,2.58
henry,AL,2.56
henry,OH,2.5
henry,IL,2.44
henry,IN,2.43
henry,VA,2.37
henry,MO,2.34
henry,TN,2.33
herkimer,NY,2.41
hernando,FL,2.39
hertford,NC,2.52
hettinger,ND,2.12
hickman,TN,2.56
hickman,KY,2.33
hickory,MO,2.13
hidalgo,TX,3.56
hidalgo,NM,2.91
highland,OH,2.59
highland,VA,2.12
highlands,FL,2.42
hill,TX,2.59
hill,MT,2.54
hillsborough,FL,2.56
hillsborough,NH,2.55
hillsdale,MI,2.6
