DEP_Code,Name,Street_Add,Town_City,Type,Zip Code,tons,Lat,Long,X_Coord,Y_Coord,Status,Score
R195,Krickets Korner,248 E Main St,Norton,R,2766,15,41.98617113,71.1565406,228461.1424,859590.6132,M,100
R1146,Krista K'S Ice Cream,882 Main St,West Dennis,R,2670,22.5,41.66784014,70.1500502,312420.2803,825066.4089,M,100
R1451,Krueger Flatbreads,142 Essex St,Haverhill,R,1832,27,42.77522008,71.0861293,233870.5458,947261.5971,M,100
F417,Kyler's,2 Washburn St,New Bedford,F,2740,,41.65404564,70.9199567,248316.5459,822808.9347,M,100
R196,Kyoto Japanese Restaurant,535 Lincoln Plz,Worcester,R,1605,15,42.29489323,71.7740392,177401.5813,893860.0783,M,81
R637,Kyoto Japanese Steak House,1487 Main St,Tewksbury,R,1876,18,42.59913235,71.220651,222925.6032,927655.9516,M,100
W237,L & H Fishing Corp,655 Pine Hill Rd,Westport,W,2790,,42.52235746,72.714925,100175.2952,919801.0133,T,66
F418,L & M Bakery,203 S Union St,Lawrence,F,1843,,42.6966649,71.1533994,228400.7544,938510.5495,M,100
F419,L & M Bakery,231 Neck Rd,Haverhill,F,1835,,42.75519974,71.1200774,231102.2091,945024.64,M,100
R423,L & R LogCabin,114 E Grove St,Middleboro,R,2346,16.5,41.87615074,70.8915946,250503.0643,847493.5459,M,100
W238,L & S Cranberry LP,28 Main St Bldg 3,North Easton,W,2356,,42.13283206,71.0399055,238038.2964,875925.6588,T,66
F420,L A Burdick Chocolates,52d Brattle St,Cambridge,F,2138,,42.37455137,71.1220344,231129.3701,902740.867,M,100
R2004,La Cazuela,89 Depot Rd,Hatfield,R,1038,34.5,42.40944826,72.6086029,108747.7668,907141.1745,M,100
R638,La Famiglia Giorgio,2 Philomena Ave,Revere,R,2151,18,42.4237187,71.0192362,239564.9945,908244.7959,M,64
R3333,La Fete,148 E Central St Ste 5,Natick,R,1760,75,42.28757822,71.3337711,213709.5309,893024.6192,M,100
F421,La Fiorentina Pastry Shop,60 Shaker Rd Ste 10,East Longmeadow,F,1028,,42.06212516,72.5144786,116036.1872,868468.8743,M,100
W239,La Fruteria Market,75 Manchester St,Lawrence,W,1841,,41.93719505,71.2866246,217695.2286,854115.6924,T,66
R2626,La Groceria Restaurant,20 Westover Dr,Lynnfield,R,1940,45,42.53590697,71.0377226,237976.1109,920698.077,M,100
R2627,La Morra,48 Boylston St,Brookline,R,2445,45,42.33134265,71.1187672,231419.9045,897942.6347,M,100
R3411,La Paloma,195 Newport Ave Ste 4,Quincy,R,2170,82.5,42.26932673,71.0236516,239297.4,891093.7092,M,100
