"sample_size","ban_year","att_min","att_max","att_median","specification","year","treated_state"
10,2014,-0.0353588100695044,0.0227816424312093,-0.0110709594947819,"State Pooled",2014,"RI"
3,2011,-0.0461224031151354,0.0568543121820772,-0.0171987446598568,"State",2011,"CT"
4,2011,-0.047146967607268,0.0616228796594644,-0.0195859611494621,"State",2011,"CT"
5,2011,-0.0493719267104109,0.0678634609375682,-0.0233368157727029,"State",2011,"CT"
6,2011,-0.0471509423389394,0.0734029765007503,-0.0205709170870342,"State",2011,"CT"
7,2011,-0.0487772006480397,0.0720495325804172,-0.0225370625071437,"State",2011,"CT"
8,2011,-0.0489933652965508,0.0745754341922967,-0.021247625345809,"State",2011,"CT"
9,2011,-0.049328316391699,0.0741911548294361,-0.0216321772936433,"State",2011,"CT"
10,2011,-0.0497172156978508,0.0731142927189581,-0.0228390639586222,"State",2011,"CT"
3,2011,-0.025745671563144,0.0110683526428486,-0.00501395441371224,"State Pooled",2011,"CT"
4,2011,-0.0239498902243095,0.0110231795910041,-0.00436903696106302,"State Pooled",2011,"CT"
5,2011,-0.0235344564133,0.00925802045357151,-0.00562230832621131,"State Pooled",2011,"CT"
6,2011,-0.0224410416119739,0.0105116518210423,-0.0048084511793929,"State Pooled",2011,"CT"
7,2011,-0.0218653248708412,0.00868875949635508,-0.00662295982077943,"State Pooled",2011,"CT"
8,2011,-0.0217410685894287,0.0109207510591209,-0.0102993660527205,"State Pooled",2011,"CT"
9,2011,-0.0227701937862657,0.0127695495762926,-0.0111025027707261,"State Pooled",2011,"CT"
10,2011,-0.0258041378090361,0.0132125227887578,-0.0104779562119863,"State Pooled",2011,"CT"
