"state_id","ban_year","sample_size","att_f2","att_f","attempt"
"CT",2014,5,0.0638850908129111,0.0558018808000187,8
"CT",2014,6,0.0639077983746053,0.0653150358455599,8
"CT",2014,7,0.0968986288214813,0.103551284784944,8
"CT",2014,8,0.0950397574467108,0.0921705485277238,8
"CT",2014,9,0.0968533963168622,0.106275432615704,8
"CT",2014,10,0.11023715430182,0.119979660129403,8
"VT",2015,3,0.0709227308682381,0.0709227308682381,8
"VT",2015,4,0.0150484873512864,0.0150484873512864,8
"VT",2015,5,0.0545622203393349,0.0545622203393349,8
"VT",2015,6,0.0599212028437619,0.0599212028437619,8
"VT",2015,7,0.0420247095307349,0.0420247095307349,8
"VT",2015,8,0.0316427051245289,0.0316427051245289,8
"VT",2015,9,0.00979316761313384,0.00979316761313384,8
"VT",2015,10,0.0241615968631005,0.0241615968631005,8
"CT",2014,3,0.00386852713716543,-0.0179590039696721,9
"CT",2014,4,0.0202861889370935,0.00794665854467571,9
"CT",2014,5,0.00635846931792516,0.00395703098320606,9
"CT",2014,6,0.0644175486560873,0.0478512549410842,9
"CT",2014,7,0.0512610120158921,0.0548355472485284,9
"CT",2014,8,0.0882105392721656,0.0976527517856352,9
"CT",2014,9,0.107892424485544,0.114414784825205,9
"CT",2014,10,0.110527932798698,0.115552704574711,9
"VT",2015,3,0.0409029222394554,0.0409029222394554,9
"VT",2015,4,0.1254672400204,0.1254672400204,9
"VT",2015,5,0.0775947950463677,0.0775947950463677,9
"VT",2015,6,0.0440135803636664,0.0440135803636664,9
"VT",2015,7,0.052954936220428,0.052954936220428,9
"VT",2015,8,0.0901645844514465,0.0901645844514465,9
"VT",2015,9,0.0282754091770739,0.0282754091770739,9
"VT",2015,10,0.00838856181324876,0.00838856181324876,9
"CT",2014,3,-0.0161843571889151,-0.0233634447182085,10
"CT",2014,4,-0.00684443615673828,-0.0431975066806514,10
"CT",2014,5,0.019289104574741,-0.00227862771561371,10
"CT",2014,6,0.0389573311057051,0.0371802194144602,10
"CT",2014,7,0.0539343023650117,0.063401643232795,10
"CT",2014,8,0.0834943955540515,0.088942524466737,10
"CT",2014,9,0.107112470348551,0.0945656686902164,10
"CT",2014,10,0.107791836040189,0.10936774044704,10
"VT",2015,3,0.0854884513286203,0.0854884513286203,10
"VT",2015,4,-0.0180242113565509,-0.0180242113565509,10
"VT",2015,5,0.0315911935504488,0.0315911935504488,10
"VT",2015,6,0.00745752755923135,0.00745752755923135,10
"VT",2015,7,0.034477900508005,0.034477900508005,10
"VT",2015,8,0.00872712441252593,0.00872712441252593,10
"VT",2015,9,0.0095236017300199,0.0095236017300199,10
"VT",2015,10,0.026790742795769,0.026790742795769,10
"CT",2014,3,-0.0449793054249104,-0.0572255092150069,11
"CT",2014,4,0.00677858210832744,-0.00255576619857265,11
"CT",2014,5,0.0504739360137635,0.0334077147330034,11
"CT",2014,6,0.0174016723587702,-0.000123755368107947,11
"CT",2014,7,0.0921292883324181,0.0948844502388158,11
"CT",2014,8,0.089002402170143,0.0953134414963962,11
"CT",2014,9,0.108455567350385,0.126116631934137,11
"CT",2014,10,0.106705623580493,0.0923122186508323,11
"VT",2015,3,0.0424089525470086,0.0424089525470086,11
"VT",2015,4,0.0227386951021198,0.0227386951021198,11
"VT",2015,5,0.0448007334053885,0.0448007334053885,11
"VT",2015,6,0.0372488564475929,0.0372488564475929,11
"VT",2015,7,-0.0143178208998069,-0.0143178208998069,11
"VT",2015,8,-0.00452219953008939,-0.00452219953008939,11
"VT",2015,9,0.0407450328488311,0.0407450328488311,11
"VT",2015,10,0.0489607023501504,0.0489607023501504,11
"CT",2014,3,-0.00150237057921222,-0.00694354996478054,12
"CT",2014,4,0.0233346526414192,0.0368951812481295,12
"CT",2014,5,0.0347862779331316,0.0530034460471314,12
"CT",2014,6,0.0483849885069242,0.0320022410582814,12
"CT",2014,7,0.0836574089873558,0.089082092290815,12
"CT",2014,8,0.103061382363432,0.111346121406912,12
"CT",2014,9,0.11105261292155,0.11689520250194,12
"CT",2014,10,0.103838109827106,0.101697229909828,12
"VT",2015,3,0.0706980796015464,0.0706980796015464,12
"VT",2015,4,0.0791394338772879,0.0791394338772879,12
"VT",2015,5,0.00791981951921772,0.00791981951921772,12
"VT",2015,6,0.0570883372461623,0.0570883372461623,12
"VT",2015,7,0.0451271355354715,0.0451271355354715,12
"VT",2015,8,0.0311481371788326,0.0311481371788326,12
"VT",2015,9,0.0327700357852089,0.0327700357852089,12
"VT",2015,10,0.00569565834124203,0.00569565834124203,12
"CT",2014,3,0.00207316199318672,0.00456095967952756,13
"CT",2014,4,0.0261000066226836,0.0444505103963252,13
"CT",2014,5,0.0186715096344038,0.0231364782119639,13
"CT",2014,6,0.0769922223009626,0.0455097880403209,13
"CT",2014,7,0.0716632649792575,0.0703008822374194,13
"CT",2014,8,0.110641372022074,0.139351334920447,13
"CT",2014,9,0.122519418102963,0.12687507290405,13
"CT",2014,10,0.126728961608438,0.138223742719141,13
"VT",2015,3,0.0354219030223202,0.0354219030223202,13
"VT",2015,4,0.030234916232105,0.030234916232105,13
"VT",2015,5,0.0258408976838204,0.0258408976838204,13
"VT",2015,6,0.0457895713696917,0.0457895713696917,13
"VT",2015,7,-0.0355794561215651,-0.0355794561215651,13
"VT",2015,8,0.00613741433186057,0.00613741433186057,13
"VT",2015,9,0.0428796311646044,0.0428796311646044,13
"VT",2015,10,0.0323807308628089,0.0323807308628089,13
"CT",2014,3,-0.015866293242456,-0.0221421136439716,14
"CT",2014,4,0.00291634701493232,0.0167486665614063,14
"CT",2014,5,0.0566832776169705,0.0573901804646004,14
"CT",2014,6,0.0614054542450266,0.0762030923827381,14
"CT",2014,7,0.0884197992364353,0.0918022352651098,14
"CT",2014,8,0.0963611455838485,0.10484119723117,14
"CT",2014,9,0.0876937591584419,0.0886696454011291,14
"CT",2014,10,0.1341140078477,0.145067147434489,14
"VT",2015,3,0.0571113835659976,0.0571113835659976,14
"VT",2015,4,0.0903082623362781,0.0903082623362781,14
"VT",2015,5,0.0472058666690671,0.0472058666690671,14
"VT",2015,6,0.068116008638601,0.068116008638601,14
"VT",2015,7,0.0724160423137036,0.0724160423137036,14
"VT",2015,8,0.0461170308632016,0.0461170308632016,14
"VT",2015,9,-0.0120982281447949,-0.0120982281447949,14
"VT",2015,10,0.0411412083495991,0.0411412083495991,14
"CT",2014,3,0.00224207837823413,0.0267507670544853,15
"CT",2014,4,0.00908824294962021,-0.00337641767399411,15
"CT",2014,5,0.0396503109663979,0.0467664062376534,15
"CT",2014,6,0.0938658058588359,0.106520287686821,15
"CT",2014,7,0.0899266280343515,0.0955083096642513,15
"CT",2014,8,0.0973119182918901,0.102952602680712,15
"CT",2014,9,0.119255983489056,0.115336189311022,15
"CT",2014,10,0.132026072737853,0.148601236415458,15
"VT",2015,3,0.0368458843257549,0.0368458843257549,15
"VT",2015,4,0.0483906202381423,0.0483906202381423,15
"VT",2015,5,0.00523723277251736,0.00523723277251736,15
"VT",2015,6,-0.00144118305378935,-0.00144118305378935,15
"VT",2015,7,0.0221675277032238,0.0221675277032238,15
"VT",2015,8,0.0437295731878156,0.0437295731878156,15
"VT",2015,9,0.0393263052762966,0.0393263052762966,15
"VT",2015,10,0.00820840075018903,0.00820840075018903,15
"CT",2014,3,-0.0374440590878002,-0.0567485741092023,16
"CT",2014,4,0.0194940046733578,0.014812743301377,16
"CT",2014,5,-0.0139361486339615,-0.0139751725778513,16
"CT",2014,6,0.0723046712677665,0.05840354083518,16
"CT",2014,7,0.0806757377865255,0.0819617728402837,16
"CT",2014,8,0.10349050484339,0.0888263084862449,16
"CT",2014,9,0.108401304485031,0.117761973542819,16
"CT",2014,10,0.108312781334021,0.103756518708383,16
"VT",2015,3,0.122288316697489,0.122288316697489,16
"VT",2015,4,0.0672828600722702,0.0672828600722702,16
"VT",2015,5,0.0351488903667092,0.0351488903667092,16
"VT",2015,6,0.024486108349567,0.024486108349567,16
"VT",2015,7,0.0115513984673748,0.0115513984673748,16
"VT",2015,8,0.0166465305898529,0.0166465305898529,16
"VT",2015,9,0.00683254859978402,0.00683254859978402,16
"VT",2015,10,0.00105263748453333,0.00105263748453333,16
"CT",2014,3,-0.00507192992104868,-0.00734528922372689,17
"CT",2014,4,0.0109788454358055,0.00843732901152079,17
"CT",2014,5,0.0288040508645116,0.0380688957361335,17
"CT",2014,6,0.07235153728097,0.0724504085204163,17
"CT",2014,7,0.080569342708578,0.08851835033429,17
"CT",2014,8,0.105725436898037,0.0994207693354839,17
"CT",2014,9,0.119044437024177,0.135319372124143,17
"CT",2014,10,0.129046388579726,0.134629358474793,17
"VT",2015,3,0.0366063125343108,0.0366063125343108,17
"VT",2015,4,0.0400083369762191,0.0400083369762191,17
"VT",2015,5,0.0018079372937253,0.0018079372937253,17
"VT",2015,6,0.00404313101490572,0.00404313101490572,17
"VT",2015,7,-0.0037356527905637,-0.0037356527905637,17
"VT",2015,8,0.0170969685220483,0.0170969685220483,17
"VT",2015,9,0.0448813482848158,0.0448813482848158,17
"VT",2015,10,0.0224877046664409,0.0224877046664409,17
"CT",2014,3,-0.0329972067047853,-0.038262842509018,18
"CT",2014,4,0.00577461221259326,0.016515821227996,18
"CT",2014,5,0.0228830044869255,0.0533560134488639,18
"CT",2014,6,0.0541409954961238,0.0550447240176168,18
"CT",2014,7,0.085033107595059,0.081220226571935,18
"CT",2014,8,0.109739050171856,0.109976918563644,18
"CT",2014,9,0.129999760754337,0.148582941083848,18
"CT",2014,10,0.11863405880279,0.118531793032354,18
"VT",2015,3,0.0698356979828234,0.0698356979828234,18
"VT",2015,4,0.0997301265774268,0.0997301265774268,18
"VT",2015,5,-0.00708632851177843,-0.00708632851177843,18
"VT",2015,6,-0.000860808001459545,-0.000860808001459545,18
"VT",2015,7,0.0191123277981724,0.0191123277981724,18
"VT",2015,8,-0.0013773305130656,-0.0013773305130656,18
"VT",2015,9,0.0342194206451487,0.0342194206451487,18
"VT",2015,10,0.0310277089929472,0.0310277089929472,18
"CT",2014,3,-0.0267047467424273,-0.0110764988880654,19
"CT",2014,4,0.0200212353747892,0.0370308813009089,19
"CT",2014,5,0.0629111746830473,0.0781680918656633,19
"CT",2014,6,0.0216600977634169,0.0476001170586378,19
"CT",2014,7,0.0814384440721847,0.0798620188401141,19
"CT",2014,8,0.100159397422237,0.107526014830067,19
"CT",2014,9,0.118590183487043,0.122238572329205,19
"CT",2014,10,0.0977343943120287,0.103525584755341,19
"VT",2015,3,0.065450573086815,0.065450573086815,19
"VT",2015,4,0.0897002510598032,0.0897002510598032,19
"VT",2015,5,0.0574029154494442,0.0574029154494442,19
"VT",2015,6,0.0269823233355079,0.0269823233355079,19
"VT",2015,7,0.024855985478541,0.024855985478541,19
"VT",2015,8,0.0623211198671971,0.0623211198671971,19
"VT",2015,9,-0.00156509408539828,-0.00156509408539828,19
"VT",2015,10,0.01673829427752,0.01673829427752,19
"CT",2014,3,0.0209543402963408,0.0220842993101651,20
"CT",2014,4,0.0129717144586168,0.0367990791913971,20
"CT",2014,5,0.0865670059786395,0.105527212526571,20
"CT",2014,6,0.0496453208440829,0.0463246661725091,20
"CT",2014,7,0.0749188266908115,0.0587197992610239,20
"CT",2014,8,0.0676923756781639,0.0633352017438524,20
"CT",2014,9,0.106519662696803,0.0848430128282435,20
"CT",2014,10,0.112740096856768,0.110690110671672,20
"VT",2015,3,0.0575175562301439,0.0575175562301439,20
"VT",2015,4,0.0214566188762786,0.0214566188762786,20
"VT",2015,5,0.0426623522360797,0.0426623522360797,20
"VT",2015,6,0.0641841459447439,0.0641841459447439,20
"VT",2015,7,0.0198522206898774,0.0198522206898774,20
"VT",2015,8,0.0218867695092626,0.0218867695092626,20
"VT",2015,9,0.03745509363423,0.03745509363423,20
"VT",2015,10,0.0253220942117104,0.0253220942117104,20
"CT",2014,3,-0.0436570933213979,-0.0393570345926425,21
"CT",2014,4,0.0117496534149942,0.0163086196135776,21
"CT",2014,5,0.0274993050081385,0.0190848089585089,21
"CT",2014,6,0.0923361311952114,0.0922325576570433,21
"CT",2014,7,0.0980752701396323,0.113162484049865,21
"CT",2014,8,0.0995935654268026,0.115841868938588,21
