"state_id","ban_year","sample_size","att_pop","att_waste","attempt"
"CA1",2016,7,0.0179482269097743,0.0174112699304091,13
"CA1",2016,8,0.0242546966666848,0.0237333526751661,13
"CA1",2016,9,0.025294209174882,0.0247729733330992,13
"CA1",2016,10,0.0299187702894418,0.028975761168389,13
"CA1",2016,3,0.00474702306741446,0.00609718924934177,14
"CA1",2016,4,0.0128865562196878,0.0126638372103646,14
"CA1",2016,5,0.0154713601777676,0.0151238048838822,14
"CA1",2016,6,0.0169315849656848,0.0169922637246082,14
"CA1",2016,7,0.0182467981321705,0.0176227822968748,14
"CA1",2016,8,0.0255278821883079,0.0251055574862904,14
"CA1",2016,9,0.0254235610336403,0.0248919983471606,14
"CA1",2016,10,0.0299187702894418,0.028975761168389,14
"CA1",2016,3,0.00648073527662382,0.00781917642866996,15
"CA1",2016,4,0.00806904700827684,0.00767096851045077,15
"CA1",2016,5,0.0103486145446049,0.00941221676777224,15
"CA1",2016,6,0.0189471563951316,0.0184926475454127,15
"CA1",2016,7,0.019771574427684,0.0194722474412986,15
"CA1",2016,8,0.0192190202599221,0.0184970239749292,15
"CA1",2016,9,0.0251473529897252,0.0246081913199654,15
"CA1",2016,10,0.0299187702894418,0.028975761168389,15
"CA1",2016,3,0.00232471128431096,0.00385664694624119,16
"CA1",2016,4,0.00831145431425044,0.00801816336577462,16
"CA1",2016,5,0.0185251029050298,0.0179735095053724,16
"CA1",2016,6,0.0203377920243682,0.0201179191828353,16
"CA1",2016,7,0.0185476387662835,0.0179366808109657,16
"CA1",2016,8,0.0237523323554373,0.0232354062114874,16
"CA1",2016,9,0.0272926081770215,0.026557055767371,16
"CA1",2016,10,0.0299187702894418,0.028975761168389,16
"CA1",2016,3,0.00368144842601106,0.00456408867742335,17
"CA1",2016,4,0.0064098340960902,0.00620718848455004,17
"CA1",2016,5,0.0167616536675383,0.0166577520890665,17
"CA1",2016,6,0.0178953746174268,0.0176006605170011,17
"CA1",2016,7,0.0197032893095916,0.0192363734288951,17
"CA1",2016,8,0.0192513752464925,0.0186317564704043,17
"CA1",2016,9,0.0251012992630128,0.0245639893153402,17
"CA1",2016,10,0.0299187702894418,0.028975761168389,17
"CA1",2016,3,0.00801233851889582,0.00844866270602504,18
"CA1",2016,4,0.00851244672645289,0.00808761090023314,18
"CA1",2016,5,0.021588627924972,0.0214685863576696,18
"CA1",2016,6,0.0163189136673663,0.0158324763146152,18
"CA1",2016,7,0.0195841902545446,0.0192827123230499,18
"CA1",2016,8,0.023357461461575,0.0230313899052335,18
"CA1",2016,9,0.0250706215829907,0.024573241636185,18
