"sample_size","ban_year","att","mape","r_sq","i","treated_state"
7,2016,0.0086633839011626,0.0138487193783963,0.78740170025347,10,"CA"
8,2016,0.00757147330689938,0.0142619096023083,0.800380591395297,10,"CA"
9,2016,0.00805107943767525,0.0147349231977869,0.804280553002189,10,"CA"
10,2016,0.00703131975408475,0.015259876544709,0.805642706817701,10,"CA"
3,2016,0.00113020377222781,0.0170436470198062,0.881794963328134,11,"CA"
4,2016,0.00630570511345719,0.0175633727095648,0.878149928784291,11,"CA"
5,2016,0.00535439065578557,0.0182610700316499,0.879109989652175,11,"CA"
6,2016,0.00387715460904553,0.019144344563416,0.879385835526297,11,"CA"
7,2016,0.00137071379346119,0.0198475338182442,0.885330593586997,11,"CA"
8,2016,0.00201890352757943,0.020584170558676,0.883605216132499,11,"CA"
9,2016,0.00294538508343646,0.0213516725240355,0.87961166448619,11,"CA"
10,2016,0.00531562315543114,0.0220778642772895,0.881891300673963,11,"CA"
3,2016,0.00997206281280575,0.0160347018946142,0.812585608086167,12,"CA"
4,2016,0.0109171413792149,0.0164250564869608,0.831858052916108,12,"CA"
5,2016,0.0126787630950315,0.0165108033392331,0.840086899863779,12,"CA"
6,2016,0.0115620009244982,0.0176922634055316,0.843155353634736,12,"CA"
7,2016,0.0106751541299243,0.0184041205444558,0.859941032172186,12,"CA"
8,2016,0.011591513630709,0.0194087101268686,0.863965513118162,12,"CA"
9,2016,0.0124383147351255,0.0203358676232307,0.86197754195594,12,"CA"
10,2016,0.0133933287958717,0.0213966617329694,0.863073239335387,12,"CA"
3,2016,-0.0251820002639793,0.00444582324705031,0.805646517516417,13,"CA"
4,2016,-0.0382821499183388,0.00420138806980707,0.823209295241518,13,"CA"
5,2016,-0.0443552672287897,0.00374015166152441,0.842817702517718,13,"CA"
6,2016,-0.0468341895631247,0.00367927786306161,0.853715352019061,13,"CA"
7,2016,-0.0482751181246389,0.00362435577887893,0.854125791451329,13,"CA"
8,2016,-0.0502811253098827,0.00359475956817485,0.856961133025966,13,"CA"
9,2016,-0.0510723367141476,0.00354670100933222,0.860276382327337,13,"CA"
10,2016,-0.0508271207152546,0.00360286805733213,0.863522566215004,13,"CA"
3,2016,-0.0165419202936939,0.0168886313904038,0.653571336256629,14,"CA"
4,2016,-0.0119568853996416,0.0135913045511057,0.745742362154403,14,"CA"
5,2016,-0.00811146668414583,0.0129009976311563,0.784399762091431,14,"CA"
6,2016,-0.00684457520975414,0.0131985059103707,0.796841422153139,14,"CA"
7,2016,-0.0048406690206314,0.0129878971561825,0.813361127273235,14,"CA"
8,2016,-0.00376962584124904,0.0134060908879927,0.816305420125669,14,"CA"
9,2016,-0.00423427827350119,0.0136284166196705,0.821987532471275,14,"CA"
10,2016,-0.00511229485775696,0.0139690403467317,0.825080391569756,14,"CA"
3,2016,0.0153054862469352,0.0241507357884171,0.787806531806252,15,"CA"
4,2016,0.0136475020442158,0.024920355891873,0.804055052851665,15,"CA"
5,2016,0.014636316030781,0.0259275839392559,0.822098482917048,15,"CA"
6,2016,0.0126706131661777,0.0267907383366441,0.827678141993387,15,"CA"
7,2016,0.0110384445588912,0.0273630951733254,0.836097454734359,15,"CA"
8,2016,0.0103819564191149,0.028142098497601,0.844762293631721,15,"CA"
9,2016,0.0103164464636517,0.0287834043782505,0.846979501121859,15,"CA"
10,2016,0.0116331434040422,0.0294708940014974,0.85033197653085,15,"CA"
3,2016,-0.000588277213554007,0.00733958288481843,0.742175554037169,16,"CA"
4,2016,-0.00393590139330831,0.00513459507128172,0.788204742297248,16,"CA"
5,2016,-0.0074368191773322,0.00393427310823081,0.820341493647646,16,"CA"
6,2016,-0.00828817931146756,0.00401863758776159,0.816293992748505,16,"CA"
7,2016,-0.011231495865187,0.00390966745910138,0.826040497240867,16,"CA"
8,2016,-0.0102012831547984,0.00397878937368594,0.827180544406668,16,"CA"
9,2016,-0.00984302462549926,0.00414337043282055,0.823799135263909,16,"CA"
10,2016,-0.00866593601006851,0.0043196872112627,0.830915882999055,16,"CA"
3,2016,-0.0129807517708469,0.00802771273639477,0.779782647591076,17,"CA"
4,2016,-0.0232384140973961,0.00790855525692719,0.800539521326208,17,"CA"
5,2016,-0.02614603034079,0.00793273813977013,0.813176137003344,17,"CA"
6,2016,-0.0249970840998008,0.00830761654055702,0.822031294337596,17,"CA"
7,2016,-0.0246638069425333,0.00838364738591345,0.82135743537662,17,"CA"
8,2016,-0.0255491206606958,0.00868294383942455,0.823567213190015,17,"CA"
9,2016,-0.0264989333679105,0.00896784959319573,0.828358284492703,17,"CA"
10,2016,-0.0269803241858384,0.00920877449913476,0.830061687319157,17,"CA"
3,2016,0.00836260368068387,0.0174046667277556,0.746531735857593,18,"CA"
4,2016,0.0144864679627242,0.0175357285353332,0.761792852598717,18,"CA"
5,2016,0.0154905003525558,0.0183402654554289,0.766149362522069,18,"CA"
6,2016,0.0146022106423837,0.0196571768728239,0.772487934766557,18,"CA"
7,2016,0.0105178839883834,0.0195624519511802,0.816891776341412,18,"CA"
8,2016,0.00927460321895474,0.0193523783882507,0.862443557204505,18,"CA"
9,2016,0.0071536529666801,0.0189861339442638,0.92444679167226,18,"CA"
10,2016,0.00937001789330791,0.0194998858410315,0.939766767216799,18,"CA"
3,2016,0.0146364412249677,0.0175389221148858,0.763623863153516,19,"CA"
4,2016,0.0159050336882678,0.0193706227534381,0.760675175334449,19,"CA"
5,2016,0.0189267976303285,0.0209088957390599,0.751447859628507,19,"CA"
6,2016,0.0193405793582823,0.0231614753712484,0.758083850104933,19,"CA"
7,2016,0.0183879834861027,0.0243632154449838,0.793487968724771,19,"CA"
8,2016,0.0187883753648117,0.0251059885539709,0.824614254031467,19,"CA"
9,2016,0.0189230296178563,0.0259536512798695,0.866550789943223,19,"CA"
10,2016,0.0194382755712096,0.0273053869943124,0.871351735206192,19,"CA"
3,2016,-0.0093284819220004,0.0226915634999283,0.754849317291022,20,"CA"
4,2016,-0.00279678907631413,0.0232395733993767,0.808717637420961,20,"CA"
5,2016,-0.00373281064070171,0.023938381211581,0.817409820769333,20,"CA"
6,2016,-0.00152419503551708,0.0250700304734342,0.818504375261698,20,"CA"
7,2016,-0.000815868105431776,0.0258550029668125,0.832995234259465,20,"CA"
8,2016,0.00157447293136093,0.0267501913771923,0.8308087616752,20,"CA"
9,2016,0.00363900625376308,0.0274699654942958,0.828196149147109,20,"CA"
10,2016,0.00443102972222857,0.0283098890516766,0.832511912393809,20,"CA"
3,2016,0.0058072858755084,0.0145888837280238,0.856783265374036,21,"CA"
4,2016,0.0101545330531679,0.0150060712512781,0.861101256238742,21,"CA"
5,2016,0.0143257197443567,0.0155701466180119,0.862068005134142,21,"CA"
6,2016,0.014352837951235,0.0173240047671642,0.865571061327245,21,"CA"
7,2016,0.0147462972462582,0.0187175063155843,0.875409734105384,21,"CA"
8,2016,0.016783625602052,0.0199457422991308,0.873619484421467,21,"CA"
9,2016,0.0177001950891773,0.021129209132212,0.872757643746623,21,"CA"
10,2016,0.0188653261411594,0.022271675948305,0.87449605853941,21,"CA"
3,2016,0.0187774502135846,0.00895164703239586,0.598941000732786,22,"CA"
4,2016,0.0139391433140316,0.0101146774434694,0.609733314410274,22,"CA"
5,2016,0.0151880148811386,0.0108923414900968,0.606724939124574,22,"CA"
6,2016,0.0149108102408025,0.0112686766621161,0.617876908070197,22,"CA"
7,2016,0.0145472312772085,0.0101361102506034,0.646653826283509,22,"CA"
8,2016,0.0151925387516357,0.00915740104072507,0.672467811348938,22,"CA"
9,2016,0.0148149419813805,0.0079448768042687,0.709998953178443,22,"CA"
10,2016,0.0134052410064459,0.00773196537728512,0.723454765700219,22,"CA"
