"state_id","ban_year","sample_size","att_f","rsq","mape","attempt"
"VT",2015,6,-0.039749446792577,0.782259919825284,0.0115882972836544,2
"VT",2015,7,-0.00504731850775808,0.805969466035945,0.035125813814147,2
"VT",2015,8,0.0268078236907875,0.861956145911368,0.0633822015994018,2
"VT",2015,9,0.0548941014198455,0.847978489968246,0.0915765206341699,2
"VT",2015,10,0.0988350895739627,0.818758307369656,0.121969030428575,2
"CT",2014,3,-0.226073233175737,0.908538630081562,0.0850686109282415,3
"CT",2014,4,-0.131772109674967,0.947522326824515,0.187509523565068,3
"CT",2014,5,-0.0752128893810016,0.927795192614978,0.25569017812148,3
"CT",2014,6,-0.112577102140258,0.909661287289308,0.297164343125869,3
"CT",2014,7,-0.0547600752423415,0.887722716794836,0.34018284141822,3
"CT",2014,8,-0.0134033785119872,0.865229517279879,0.375435267242877,3
"CT",2014,9,0.0142899993991752,0.876097169165909,0.419739908768481,3
"CT",2014,10,0.0346524010459785,0.876860453676475,0.471124007362377,3
"VT",2015,3,-0.0472855170155454,0.419304420122184,0.00873247075427861,3
"VT",2015,4,-0.0658530470929027,0.619546441259825,0.00913826113848111,3
"VT",2015,5,-0.0283382433364302,0.66169007697757,0.00810079180299823,3
"VT",2015,6,-0.0410884889151762,0.791597891750556,0.0127856487484574,3
"VT",2015,7,5.65314206833478e-05,0.8169780988187,0.0352381531787305,3
"VT",2015,8,0.0268078236907875,0.862794780360773,0.0637093172801068,3
"VT",2015,9,0.0548941014198455,0.847978489968246,0.0915765206341699,3
"VT",2015,10,0.0988350895739627,0.818758307369656,0.121969030428575,3
"CT",2014,3,-0.254975373873548,0.926159599339376,0.0917407193768479,4
"CT",2014,4,-0.142623821065706,0.952763194786049,0.179327486545088,4
"CT",2014,5,-0.0788227389363943,0.923213364702556,0.254226256074017,4
"CT",2014,6,-0.119733532010046,0.899521925026337,0.294762816841832,4
"CT",2014,7,-0.051587614080191,0.881881887555378,0.335520056716987,4
"CT",2014,8,-0.0181853554719519,0.871144966488929,0.377416063430413,4
"CT",2014,9,0.0142899993991752,0.876097169165909,0.419739908768481,4
"CT",2014,10,0.0346524010459785,0.876860453676475,0.471124007362377,4
"VT",2015,3,-0.0220494175703481,0.372438923528345,0.00666490804365456,4
"VT",2015,4,-0.0658530470929027,0.623382936217584,0.00882619359156257,4
"VT",2015,5,-0.0325768601102724,0.657428042854281,0.00758263165103791,4
"VT",2015,6,-0.0457039383757588,0.787436612401846,0.00864945724874564,4
"VT",2015,7,5.65314206833478e-05,0.812990164837619,0.0348573186119589,4
"VT",2015,8,0.0276202753025731,0.858601608113752,0.0620737388765818,4
"VT",2015,9,0.0548941014198455,0.847978489968246,0.0915765206341699,4
"VT",2015,10,0.0988350895739627,0.818758307369656,0.121969030428575,4
"CT",2014,3,-0.226073233175737,0.908116098336213,0.0838592399776236,5
"CT",2014,4,-0.153475532456445,0.950344804466733,0.184658701655116,5
"CT",2014,5,-0.172403953092067,0.929901425638231,0.24880872100458,5
"CT",2014,6,-0.116378825684044,0.911758998749117,0.299221630689039,5
"CT",2014,7,-0.057052730605865,0.888898936079814,0.340064522462109,5
"CT",2014,8,-0.0181853554719519,0.870695925321321,0.378264825147609,5
"CT",2014,9,0.0142899993991752,0.876097169165909,0.419739908768481,5
"CT",2014,10,0.0346524010459785,0.876860453676475,0.471124007362377,5
"VT",2015,3,-0.0220494175703481,0.410021564881426,0.00774873363749217,5
"VT",2015,4,-0.0727433524797498,0.679922060972719,0.00778940995515255,5
"VT",2015,5,-0.0325768601102724,0.65272950044857,0.00671774400764706,5
