"att","mape","r_sq","nreg","lambda","type","ban_year","county_id"
-0.0147824372896554,0.0321695715589799,0.999265013249317,5,0.000776970128467141,"No Constraint",2014,"KY"
-0.0147824372896554,0.0321695715589799,0.999265013249317,5,0.000776970128467141,"Constraint",2014,"KY"
0.0404187951164995,0.00634044891992608,0.966876376569612,3,0.0144371007610806,"No Constraint",2014,"MI"
0.0404187951164995,0.00634044891992608,0.966876376569612,3,0.0144371007610806,"Constraint",2014,"MI"
0.0266632769602808,0.0066769290686437,0.984231996954557,3,0.00510813768301945,"No Constraint",2014,"MN"
0.0266632769602808,0.0066769290686437,0.984231996954557,3,0.00510813768301945,"Constraint",2014,"MN"
-0.0118455517994919,0.0500976370939983,0.56179929300001,3,0.0227200521442244,"No Constraint",2014,"MO"
-0.0118455517994919,0.0500976370939983,0.56179929300001,3,0.0227200521442244,"Constraint",2014,"MO"
-0.0767873053754962,0.0282124278171941,0.999100721097766,5,0.000416164624569559,"No Constraint",2014,"MS"
-0.0767873053754962,0.0282124278171941,0.999100721097766,5,0.000416164624569559,"Constraint",2014,"MS"
0.0565034505146536,0.0350295137267297,0.985284090386702,3,0.0154694627984977,"No Constraint",2014,"NC"
0.0565034505146536,0.0350295137267297,0.985284090386702,3,0.0154694627984977,"Constraint",2014,"NC"
0.0682004483663751,0.0187591995216218,0.997525223748773,3,0.0025276889163096,"No Constraint",2014,"NJ"
0.0682004483663751,0.0187591995216218,0.997525223748773,3,0.0025276889163096,"Constraint",2014,"NJ"
-0.0686392962878293,0.00515761800596493,0.995386282550027,6,0.00637984467292346,"No Constraint",2014,"OR"
-0.0686392962878293,0.00515761800596493,0.995386282550027,6,0.00637984467292346,"Constraint",2014,"OR"
0.0576528483814764,0.0204662168571687,0.975678122483943,4,0.00166240192302323,"No Constraint",2014,"PA"
0.0576528483814764,0.0204662168571687,0.975678122483943,4,0.00166240192302323,"Constraint",2014,"PA"
0.0452125414135725,0.00810901349745885,0.999141843986795,6,0.00134194346357983,"No Constraint",2014,"SC"
0.0452125414135725,0.00810901349745885,0.999141843986795,6,0.00134194346357983,"Constraint",2014,"SC"
0.0386093692615543,0.0499778346224218,0.933549926503368,2,0.015824067435454,"No Constraint",2014,"TN"
0.0386093692615543,0.0499778346224218,0.933549926503368,2,0.015824067435454,"Constraint",2014,"TN"
-0.00495314900072483,0.0207684554991702,0.999138038397935,5,0.000612261694328424,"No Constraint",2014,"TX"
0.0286374607434051,0.0263141963374173,0.977445718408905,5,0.00412306249157738,"Constraint",2014,"TX"
0.0281711391576419,0.0625454247720196,0.802487664555322,3,0.0370962879237828,"No Constraint",2014,"UT"
0.0281711391576419,0.0625454247720196,0.802487664555322,3,0.0370962879237828,"Constraint",2014,"UT"
0.0413769011508215,0.0257422933913262,0.931063392678226,3,0.0185192183748736,"No Constraint",2014,"WA"
0.0413769011508215,0.0257422933913262,0.931063392678226,3,0.0185192183748736,"Constraint",2014,"WA"
0.053905092402067,0.0218169001249746,0.997189157707607,5,0.000486275022470286,"No Constraint",2014,"WI"
0.053905092402067,0.0218169001249746,0.997189157707607,5,0.000486275022470286,"Constraint",2014,"WI"
-0.0141858065719033,0.0426348989745594,0.999007426551078,4,0.00139356035981722,"No Constraint",2016,"CO"
-0.0594052162766659,0.0237419355168672,0.95740733123459,6,0.0227115615950636,"Constraint",2016,"CO"
0.0863291255466104,0.0137093778897248,0.988685182776862,3,0.00715361030393819,"No Constraint",2016,"DE"
0.134113963557594,0.0148058637837885,0.99772618131261,5,0.000967917650195476,"Constraint",2016,"DE"
-0.193150294006091,0.0309700479454376,0.977908933654166,3,0.0153672387808311,"No Constraint",2016,"FL"
-0.190959300140426,0.0301154796884723,0.962789543127048,3,0.0268546861992018,"Constraint",2016,"FL"
-0.0789333047210591,0.0254998105610367,0.9893285298438,3,0.0067353782170097,"No Constraint",2016,"GA"
-0.0776973692708785,0.0254091259941187,0.990164153488499,4,0.00613702577969078,"Constraint",2016,"GA"
-0.0605462866869081,0.00731838884593128,0.441570369676526,2,0.00754166481112721,"No Constraint",2016,"IA"
-0.0605462866869081,0.00731838884593128,0.441570369676526,2,0.00754166481112721,"Constraint",2016,"IA"
0.00320211790709298,0.0327631576803097,0.931414240762814,3,0.0352052321696905,"No Constraint",2016,"IL"
0.00320211790709298,0.0327631576803097,0.931414240762814,3,0.0352052321696905,"Constraint",2016,"IL"
-0.0104669298715923,0.0373287220124731,0.955326261104798,2,0.013082095025597,"No Constraint",2016,"IN"
-0.0104669298715923,0.0373287220124731,0.955326261104798,2,0.013082095025597,"Constraint",2016,"IN"
-0.0507148490394579,0.0272812393682766,0.943484315131449,5,0.00399054034717491,"No Constraint",2016,"KY"
-0.0549104290555376,0.0286519138575553,0.945313313509756,6,0.00363603174112195,"Constraint",2016,"KY"
