state_id,ban_year,sample_size,att_pop,att_waste,attempt
MA,2013,6,-0.008610004,-0.008610004,20
MA,2013,7,-0.013598266,-0.013598266,20
MA,2013,8,-0.012771414,-0.012771414,20
MA,2013,9,-0.021343018,-0.021343018,20
MA,2013,10,-0.016551324,-0.016551324,20
MA,2013,3,-0.002016013,-0.002016013,21
MA,2013,4,-0.004420405,-0.004420405,21
MA,2013,5,-0.008925635,-0.008925635,21
MA,2013,6,-0.018037729,-0.018037729,21
MA,2013,7,-0.011176989,-0.011176989,21
MA,2013,8,-0.012557994,-0.012557994,21
MA,2013,9,-0.005793437,-0.005793437,21
MA,2013,10,-0.019802381,-0.019802381,21
MA,2013,3,-0.00990154,-0.00990154,22
MA,2013,4,-0.014365807,-0.014365807,22
MA,2013,5,-0.007254473,-0.007254473,22
MA,2013,6,-0.008411331,-0.008411331,22
MA,2013,7,-0.014600644,-0.014600644,22
MA,2013,8,-0.016395245,-0.016395245,22
MA,2013,9,-0.015674251,-0.015674251,22
MA,2013,10,-0.01318395,-0.01318395,22
MA,2013,3,0.000379364,0.000379364,23
MA,2013,4,-0.014318053,-0.014318053,23
MA,2013,5,-0.012682276,-0.012682276,23
MA,2013,6,0.001073181,0.001073181,23
MA,2013,7,-0.023509026,-0.023509026,23
MA,2013,8,-0.012803467,-0.012803467,23
MA,2013,9,-0.009684277,-0.009684277,23
MA,2013,10,-0.019242939,-0.019242939,23
MA,2013,3,-0.005692222,-0.005692222,24
MA,2013,4,-0.007740978,-0.007740978,24
MA,2013,5,-0.010189195,-0.010189195,24
MA,2013,6,-0.015188661,-0.015188661,24
MA,2013,7,-0.005247429,-0.005247429,24
MA,2013,8,-0.012702611,-0.012702611,24
MA,2013,9,-0.006269646,-0.006269646,24
MA,2013,10,-0.016423541,-0.016423541,24
MA,2013,3,-0.012499054,-0.012499054,25
MA,2013,4,-0.007864419,-0.007864419,25
MA,2013,5,-0.007054462,-0.007054462,25
MA,2013,6,-0.006844479,-0.006844479,25
MA,2013,7,-0.012748596,-0.012748596,25
MA,2013,8,-0.026030858,-0.026030858,25
MA,2013,9,-0.021015067,-0.021015067,25
MA,2013,10,-0.011620532,-0.011620532,25
MA,2013,3,0.003106485,0.003106485,26
MA,2013,4,-0.009272959,-0.009272959,26
MA,2013,5,-0.009249258,-0.009249258,26
MA,2013,6,-0.007320986,-0.007320986,26
MA,2013,7,-0.015005841,-0.015005841,26
MA,2013,8,-0.013098733,-0.013098733,26
MA,2013,9,-0.010893519,-0.010893519,26
MA,2013,10,-0.016498221,-0.016498221,26
MA,2013,3,0.003332596,0.003332596,27
MA,2013,4,-0.002926532,-0.002926532,27
MA,2013,5,-0.0113145,-0.0113145,27
MA,2013,6,-0.015441828,-0.015441828,27
MA,2013,7,-0.010542978,-0.010542978,27
MA,2013,8,-0.018607605,-0.018607605,27
MA,2013,9,-0.023747201,-0.023747201,27
MA,2013,10,-0.011577784,-0.011577784,27
MA,2013,3,0.00120808,0.00120808,28
MA,2013,4,-0.015346172,-0.015346172,28
MA,2013,5,-0.012064362,-0.012064362,28
MA,2013,6,-0.025424598,-0.025424598,28
MA,2013,7,-0.015162174,-0.015162174,28
MA,2013,8,-0.010275762,-0.010275762,28
MA,2013,9,-0.012242147,-0.012242147,28
MA,2013,10,-0.021343925,-0.021343925,28
MA,2013,3,-0.010068817,-0.010068817,29
MA,2013,4,-0.006410478,-0.006410478,29
MA,2013,5,-0.009825383,-0.009825383,29
MA,2013,6,-0.014506864,-0.014506864,29
MA,2013,7,-0.026758808,-0.026758808,29
MA,2013,8,-0.013715451,-0.013715451,29
MA,2013,9,-0.026805045,-0.026805045,29
MA,2013,10,-0.008943412,-0.008943412,29
MA,2013,3,-0.017881793,-0.017881793,30
MA,2013,4,-0.005722475,-0.005722475,30
MA,2013,5,-0.015439402,-0.015439402,30
MA,2013,6,-0.016329488,-0.016329488,30
MA,2013,7,-0.016187584,-0.016187584,30
MA,2013,8,-0.020713559,-0.020713559,30
MA,2013,9,-0.01375279,-0.01375279,30
MA,2013,10,-0.012974743,-0.012974743,30
MA,2013,3,-0.005952393,-0.005952393,31
MA,2013,4,-0.015999042,-0.015999042,31
MA,2013,5,-0.010757177,-0.010757177,31
MA,2013,6,-0.011824224,-0.011824224,31
MA,2013,7,-0.018754458,-0.018754458,31
MA,2013,8,-0.006297966,-0.006297966,31
MA,2013,9,-0.013493607,-0.013493607,31
MA,2013,10,-0.0165499,-0.0165499,31
MA,2013,3,0.00053533,0.00053533,32
MA,2013,4,-0.010862651,-0.010862651,32
MA,2013,5,-0.019356147,-0.019356147,32
MA,2013,6,-0.009929463,-0.009929463,32
MA,2013,7,-0.013564402,-0.013564402,32
MA,2013,8,-0.014555957,-0.014555957,32
MA,2013,9,-0.009980294,-0.009980294,32
MA,2013,10,-0.026537632,-0.026537632,32
MA,2013,3,-0.018306381,-0.018306381,33
MA,2013,4,-0.013207533,-0.013207533,33
MA,2013,5,-0.005194492,-0.005194492,33
MA,2013,6,-0.010075944,-0.010075944,33
MA,2013,7,-0.015255774,-0.015255774,33
MA,2013,8,-0.014753091,-0.014753091,33
MA,2013,9,-0.020639808,-0.020639808,33
MA,2013,10,-0.018956107,-0.018956107,33
MA,2013,3,-0.009732398,-0.009732398,34
MA,2013,4,-0.013790314,-0.013790314,34
MA,2013,5,-0.009878401,-0.009878401,34
MA,2013,6,-0.01187376,-0.01187376,34
MA,2013,7,-0.017921513,-0.017921513,34
MA,2013,8,-0.005096342,-0.005096342,34
MA,2013,9,-0.01690785,-0.01690785,34
MA,2013,10,-0.016656964,-0.016656964,34
MA,2013,3,-0.004527645,-0.004527645,35
MA,2013,4,0.001047249,0.001047249,35
MA,2013,5,-0.010750924,-0.010750924,35
MA,2013,6,-0.009057491,-0.009057491,35
MA,2013,7,-0.005050379,-0.005050379,35
MA,2013,8,-0.011350095,-0.011350095,35
MA,2013,9,-0.014878133,-0.014878133,35
MA,2013,10,-0.012880295,-0.012880295,35
MA,2013,3,-0.012854506,-0.012854506,36
MA,2013,4,0.002220304,0.002220304,36
MA,2013,5,-0.013873594,-0.013873594,36
MA,2013,6,-0.018277876,-0.018277876,36
MA,2013,7,-0.012898493,-0.012898493,36
MA,2013,8,-0.027613432,-0.027613432,36
MA,2013,9,-0.025797914,-0.025797914,36
MA,2013,10,-0.016320582,-0.016320582,36
MA,2013,3,0.003685501,0.003685501,37
MA,2013,4,-0.012604311,-0.012604311,37
MA,2013,5,-0.005015398,-0.005015398,37
MA,2013,6,-0.014911137,-0.014911137,37
MA,2013,7,-0.01378606,-0.01378606,37
MA,2013,8,-0.015523567,-0.015523567,37
MA,2013,9,-0.019210098,-0.019210098,37
MA,2013,10,-0.014953092,-0.014953092,37
MA,2013,3,-0.018793112,-0.018793112,38
MA,2013,4,-0.006461173,-0.006461173,38
MA,2013,5,-0.006346866,-0.006346866,38
MA,2013,6,-0.015354107,-0.015354107,38
MA,2013,7,-0.020123242,-0.020123242,38
MA,2013,8,-0.014470037,-0.014470037,38
MA,2013,9,-0.020466005,-0.020466005,38
MA,2013,10,-0.015770573,-0.015770573,38
MA,2013,3,-0.007692747,-0.007692747,39
MA,2013,4,-0.020185436,-0.020185436,39
