"sample_size","ban_year","att_min","att_max","att_median","specification"
10,2016,-0.131479871644775,0.65259472023985,-0.00305137348276391,"County Pooled State"
3,2014,-0.327071342234386,0.644781163162931,-0.0985567183798849,"State"
3,2015,-0.304705131222907,0.634724180022953,-0.0258322446656473,"State"
3,2016,-0.275535681395009,0.485436436370153,0.068540973861284,"State"
4,2014,-0.307324991470865,0.591687319555123,-0.114131888245048,"State"
4,2015,-0.226593495539747,0.541349854071609,-0.0560221498458378,"State"
4,2016,-0.324627476167163,0.454376352569898,0.0451390674274742,"State"
5,2014,-0.284225749219461,0.582501955166665,-0.116714634403592,"State"
5,2015,-0.215337720265884,0.524229171296328,-0.101548183706566,"State"
5,2016,-0.292011722856423,0.509568037710903,0.0398315673003013,"State"
6,2014,-0.263627037491199,0.617784848454205,-0.163522969885065,"State"
