"sample_size","ban_year","att_min","att_max","att_median","specification"
10,2015,-0.0745647904594503,0.0552587600145966,-0.0167805625778371,"County Pooled State"
10,2016,-0.0689983525277285,0.0594001187151772,-0.00849257798772681,"County Pooled State"
3,2014,-0.0645097046157134,0.0490311686373967,-0.0109326704845913,"State"
3,2015,-0.0639582552632315,0.0804721353507139,0.000440529814524056,"State"
3,2016,-0.0629398517226844,0.0955455678123313,0.00442985574512138,"State"
4,2014,-0.0609115067275009,0.0488446844552616,-0.00575274538751831,"State"
4,2015,-0.0648777035509139,0.0779368729294435,-0.00548733681068059,"State"
4,2016,-0.0588554371198288,0.106875141867386,-0.00385666935942289,"State"
5,2014,-0.0608623638805543,0.0461009336546933,-0.00265724206042437,"State"
5,2015,-0.0661891642178288,0.0743792010163855,-0.00474705897575585,"State"
5,2016,-0.0621926428783167,0.106458087427842,-0.0129784944617157,"State"
