"ban_year","type","att","mape","r_sq","i"
2016,"No Constraint",-0.00538197048302095,0.0925469402864492,0.918344279811465,35
2014,"Constraint",-0.0886078747950538,0.202146990412243,0.465101879023343,36
2014,"No Constraint",-0.059844557555792,0.0737556581651948,0.749117818066242,36
2015,"Constraint",-0.405856928944024,0.418392694298212,0.459423349167147,36
2015,"No Constraint",-0.0252192431654024,0.0642609907858803,0.976678218643751,36
2016,"Constraint",-0.314505661907759,0.320577497404682,0.428609400036913,36
2016,"No Constraint",-0.00288269191093669,0.0649218658526037,0.971077532295584,36
2014,"Constraint",-0.234258148179172,0.178540733911113,0.225503123897586,37
2014,"No Constraint",-0.118990293437418,0.0283042512529671,0.499117827404867,37
2015,"Constraint",-0.559733061043961,0.434772358104067,0.486192206265036,37
2015,"No Constraint",-0.145553507722659,0.0382402448004426,0.990710836483889,37
2016,"Constraint",-0.847275272070777,0.702607465242443,0,37
2016,"No Constraint",-0.105436939248218,0.0362805375493023,0.990257821769684,37
2014,"Constraint",-0.163576779537159,0.333644387170016,0.225346500155004,38
2014,"No Constraint",0.0490622114064077,0.12258730514568,0.474208362513243,38
2015,"Constraint",-0.270290253377394,0.383401655734517,0.465264073667654,38
2015,"No Constraint",0.0218294313336666,0.121643649212691,0.721440245884598,38
2016,"Constraint",-0.157684272356089,0.325927984664284,0.476319601120644,38
2016,"No Constraint",0.0691285404164247,0.136654537049432,0.749302831656217,38
2014,"Constraint",0.100192841489128,0.0800479086917988,0.518925793751259,39
2014,"No Constraint",0.10002540414476,0.0786213101673797,0.519308443075167,39
2015,"Constraint",-0.511355511959046,0.467421323826892,0.240710839699654,39
2015,"No Constraint",-0.00275561733859471,0.0446638753392986,0.981657582288263,39
2016,"Constraint",-0.353536409756017,0.343361682681585,0.242867770068008,39
2016,"No Constraint",0.0379914788003997,0.0526866676949228,0.743605321781207,39
2014,"Constraint",-0.156975349547098,0.0752749375769746,0.503064588349981,40
2014,"No Constraint",-0.145453076119076,0.0729252096247995,0.504335731533165,40
2015,"Constraint",-0.12801000294913,0.0769728348309925,0.704201537243902,40
2015,"No Constraint",-0.0941604006415672,0.0810247183392188,0.708198679907907,40
2016,"Constraint",-0.42062092673631,0.369419511705859,0.45858272690161,40
2016,"No Constraint",-0.0780239773080703,0.114375472392281,0.740379034695257,40
2014,"Constraint",-0.457259696579174,0.468628109745192,0.210511880309565,41
2014,"No Constraint",0.0112659332322261,0.0662141020492336,0.912434050057772,41
2015,"Constraint",-0.379110673263903,0.365987950198803,0.423988619139919,41
2015,"No Constraint",-0.00853021713091894,0.0685277027864278,0.961279903197926,41
2016,"Constraint",-0.159966342182611,0.194472711927515,0.679125337496525,41
2016,"No Constraint",-0.00708278851142141,0.0333867605670934,0.975456369946866,41
2014,"Constraint",-0.193761785671952,0.417728755903419,0.238171918302249,42
2014,"No Constraint",0.163276977103044,0.13762208483893,0.7387382449075,42
2015,"Constraint",0.0841338454710842,0.398199636317514,0.664287562088411,42
2015,"No Constraint",0.247253429504425,0.249868341243742,0.923288216512959,42
2016,"Constraint",0.188429041472724,0.153165900885413,0.809728754642456,42
2016,"No Constraint",0.185383907267317,0.156160305869637,0.817126554945968,42
2014,"Constraint",-0.156631510893373,0.230366032969953,0.389825106755708,43
2014,"No Constraint",-0.0365526208885249,0.106355126871169,0.639588919601857,43
2015,"Constraint",-0.556338357407273,0.470119877547577,0,43
2015,"No Constraint",-0.0582196193270986,0.0885751432870212,0.749270469015806,43
