"sample_size","ban_year","county_id","n","att","attempt"
6,2014,"MA",24,-0.0545072239538643,36
7,2014,"MA",25,-0.0532644719924909,36
8,2014,"MA",27,-0.056818530208691,36
9,2014,"MA",18,-0.0585575547975358,36
10,2014,"MA",9,-0.0568057672900645,36
3,2014,"MA",4,-0.0620994914663275,37
4,2014,"MA",11,-0.056971812156387,37
5,2014,"MA",16,-0.0584826825143168,37
6,2014,"MA",26,-0.0556556136159507,37
7,2014,"MA",25,-0.0544271492442491,37
8,2014,"MA",20,-0.0580509452398443,37
9,2014,"MA",18,-0.0581389029744363,37
10,2014,"MA",14,-0.0607107609786321,37
3,2014,"MA",4,-0.0501290112170909,38
4,2014,"MA",12,-0.0565079981270388,38
5,2014,"MA",22,-0.0538912002624866,38
6,2014,"MA",25,-0.0541108407262652,38
7,2014,"MA",25,-0.0536260345602489,38
8,2014,"MA",27,-0.0551335698206051,38
9,2014,"MA",18,-0.0567139915889702,38
10,2014,"MA",11,-0.0572748101895374,38
3,2014,"MA",4,-0.0620994914663275,39
4,2014,"MA",10,-0.0574356261857353,39
5,2014,"MA",15,-0.0576762252071453,39
6,2014,"MA",25,-0.0531556777643319,39
7,2014,"MA",24,-0.0536922773457758,39
8,2014,"MA",27,-0.0580509452398443,39
9,2014,"MA",19,-0.0581389029744363,39
10,2014,"MA",10,-0.0589501772779643,39
3,2014,"MA",3,-0.0620994914663275,40
4,2014,"MA",10,-0.0565079981270388,40
5,2014,"MA",12,-0.0538912002624866,40
6,2014,"MA",20,-0.0543224289612174,40
7,2014,"MA",25,-0.0545147771429586,40
8,2014,"MA",19,-0.056818530208691,40
9,2014,"MA",22,-0.0582978133067222,40
10,2014,"MA",10,-0.057986802924266,40
3,2014,"MA",3,-0.0620994914663275,41
4,2014,"MA",10,-0.056971812156387,41
5,2014,"MA",20,-0.0532205477080261,41
6,2014,"MA",30,-0.0544148264575408,41
7,2014,"MA",26,-0.0543395213455397,41
8,2014,"MA",23,-0.0583811054042349,41
9,2014,"MA",21,-0.0588172962883494,41
10,2014,"MA",9,-0.0570402887398009,41
3,2014,"MA",4,-0.0620994914663275,42
4,2014,"MA",12,-0.056971812156387,42
5,2014,"MA",17,-0.0538912002624866,42
6,2014,"MA",19,-0.0506516763257485,42
7,2014,"MA",23,-0.0538008349521227,42
8,2014,"MA",30,-0.0573854325714045,42
9,2014,"MA",17,-0.058071272252056,42
10,2014,"MA",9,-0.0589501772779643,42
3,2014,"MA",3,-0.0620994914663275,43
4,2014,"MA",10,-0.0565079981270388,43
5,2014,"MA",20,-0.0541131478413908,43
6,2014,"MA",27,-0.0535274651278225,43
7,2014,"MA",26,-0.0528728705553949,43
8,2014,"MA",21,-0.0576171362398499,43
9,2014,"MA",17,-0.0590344357601446,43
10,2014,"MA",10,-0.0572748101895374,43
3,2014,"MA",5,-0.0588452611332719,44
4,2014,"MA",10,-0.0574356261857353,44
5,2014,"MA",19,-0.055783712734816,44
6,2014,"MA",25,-0.0532823464298852,44
7,2014,"MA",24,-0.054029854603205,44
8,2014,"MA",23,-0.056818530208691,44
9,2014,"MA",22,-0.0577866818886454,44
10,2014,"MA",9,-0.0572748101895374,44
3,2014,"MA",4,-0.0620994914663275,45
4,2014,"MA",10,-0.0565079981270388,45
5,2014,"MA",17,-0.0584826825143168,45
6,2014,"MA",26,-0.0545072239538643,45
7,2014,"MA",26,-0.0532644719924909,45
8,2014,"MA",25,-0.056818530208691,45
9,2014,"MA",20,-0.0582978133067222,45
10,2014,"MA",11,-0.0572748101895374,45
3,2014,"MA",4,-0.0620994914663275,46
4,2014,"MA",10,-0.056971812156387,46
5,2014,"MA",18,-0.0538912002624866,46
6,2014,"MA",25,-0.0555416098588418,46
7,2014,"MA",30,-0.0542588742542872,46
8,2014,"MA",25,-0.0559858390854251,46
9,2014,"MA",19,-0.0585575547975358,46
10,2014,"MA",10,-0.0589501772779643,46
3,2014,"MA",4,-0.0620994914663275,47
4,2014,"MA",11,-0.0565079981270388,47
5,2014,"MA",17,-0.0587699339591281,47
6,2014,"MA",21,-0.0538992524913131,47
7,2014,"MA",26,-0.0537134347561858,47
8,2014,"MA",25,-0.0549310465565281,47
9,2014,"MA",19,-0.057358816559323,47
10,2014,"MA",11,-0.057986802924266,47
3,2014,"MA",4,-0.0620994914663275,48
4,2014,"MA",10,-0.0574356261857353,48
5,2014,"MA",17,-0.0584826825143168,48
6,2014,"MA",20,-0.0545072239538643,48
7,2014,"MA",23,-0.0531256804372644,48
8,2014,"MA",28,-0.056402184647058,48
9,2014,"MA",20,-0.057358816559323,48
10,2014,"MA",10,-0.0572748101895374,48
3,2014,"MA",4,-0.0501290112170909,49
4,2014,"MA",11,-0.0517673442083364,49
5,2014,"MA",18,-0.0538912002624866,49
6,2014,"MA",21,-0.0556255417175255,49
7,2014,"MA",27,-0.0542991977999134,49
8,2014,"MA",23,-0.056402184647058,49
9,2014,"MA",23,-0.0582978133067222,49
10,2014,"MA",8,-0.057986802924266,49
3,2014,"MA",4,-0.0501290112170909,50
4,2014,"MA",9,-0.0565079981270388,50
5,2014,"MA",22,-0.058079453860731,50
6,2014,"MA",27,-0.0559680516614555,50
7,2014,"MA",29,-0.0533758574987566,50
8,2014,"MA",27,-0.0577360962752372,50
9,2014,"MA",16,-0.058071272252056,50
10,2014,"MA",10,-0.0572748101895374,50
3,2016,"CA",3,0.0545472970112446,1
4,2016,"CA",9,0.063892195475938,1
5,2016,"CA",19,0.0166946492718146,1
6,2016,"CA",25,0.0241061502133454,1
7,2016,"CA",25,0.0360209974245915,1
8,2016,"CA",26,0.041516347473106,1
9,2016,"CA",13,0.0485312928926414,1
10,2016,"CA",10,0.0545217531684907,1
3,2016,"CA",4,0.050075527951332,2
4,2016,"CA",11,0.063892195475938,2
5,2016,"CA",20,0.0237244051861594,2
6,2016,"CA",23,0.0269234556750073,2
7,2016,"CA",28,0.0366310482450282,2
8,2016,"CA",30,0.0413766917604873,2
9,2016,"CA",17,0.0476706450506713,2
10,2016,"CA",9,0.0545217531684907,2
3,2016,"CA",4,0.050075527951332,3
4,2016,"CA",11,0.0640377491056494,3
5,2016,"CA",17,0.0146204946571975,3
6,2016,"CA",23,0.0259515912696977,3
7,2016,"CA",31,0.036060431395496,3
8,2016,"CA",27,0.0414814854029414,3
9,2016,"CA",22,0.0480693389683798,3
10,2016,"CA",9,0.0545217531684907,3
3,2016,"CA",4,0.0545472970112446,4
4,2016,"CA",9,0.063892195475938,4
5,2016,"CA",18,0.01648145227267,4
6,2016,"CA",25,0.0250701157519449,4
7,2016,"CA",26,0.0329247447455451,4
8,2016,"CA",24,0.0401137802330355,4
9,2016,"CA",16,0.0485941239949665,4
10,2016,"CA",12,0.0545217531684907,4
3,2016,"CA",5,0.0545472970112446,5
4,2016,"CA",9,0.0639649722907937,5
5,2016,"CA",16,0.0146204946571975,5
6,2016,"CA",23,0.0241061502133454,5
7,2016,"CA",27,0.0344040265812776,5
8,2016,"CA",26,0.0407452359967614,5
9,2016,"CA",18,0.0484682988911484,5
10,2016,"CA",8,0.0546364679607567,5
