"r_sq","mape","att","cf","sample_size","county_id","iterations","ban_year","donor_number","chosen_donor","treated_state"
0.703464121609861,0.0203427994014376,0.0296982954505779,6.04312484244593,5,"GA",5000,2014,"donor_1",14,"VT"
0.692459961678975,0.0248004496266826,0.0280097229763708,6.05305106594274,6,"GA",6000,2014,"donor_1",11,"VT"
0.836397484317915,0.0251986744502783,0.0358709254707899,6.00711458971931,7,"GA",7000,2014,"donor_1",19,"VT"
0.904372771261535,0.0279881221196502,0.0273461394447825,6.05696085335421,8,"GA",8000,2014,"donor_1",14,"VT"
0.92480221173772,0.0298480688710124,0.0336188069915293,6.02020329677749,9,"GA",9000,2014,"donor_1",13,"VT"
0.922925714804481,0.0319649196553171,0.0309659900421314,6.03569410588154,10,"GA",10000,2014,"donor_1",20,"VT"
0.901235462141253,0.0194674302578275,-0.00986279411825736,4.78447215089667,3,"IL",3000,2014,"donor_1",19,"VT"
0.901235462141253,0.0194674302578275,-0.00986279411825736,4.78447215089667,3,"IL",3000,2014,"donor_1",1,"VT"
0.901235462141253,0.0194674302578275,-0.00986279411825736,4.78447215089667,3,"IL",3000,2014,"donor_1",1,"VT"
0.901235462141253,0.0194674302578275,-0.00986279411825736,4.78447215089667,3,"IL",3000,2014,"donor_1",1,"VT"
0.901235462141253,0.0194674302578275,-0.00986279411825736,4.78447215089667,3,"IL",3000,2014,"donor_1",2,"VT"
0.895156578441371,0.0226282790624335,-0.00968120279636884,4.7835948388383,4,"IL",4000,2014,"donor_1",19,"VT"
0.92385369218453,0.026767232361072,-0.0142903900042062,4.80596297232819,5,"IL",5000,2014,"donor_1",11,"VT"
0.946132228297387,0.0337435581025009,-0.0177639115613721,4.82295849528221,6,"IL",6000,2014,"donor_1",7,"VT"
0.951660589628249,0.0431295435759895,-0.0161496124496549,4.81504499774914,7,"IL",7000,2014,"donor_1",14,"VT"
0.96563306249776,0.0439942093282335,-0.0136173013061647,4.80268347506596,8,"IL",8000,2014,"donor_1",2,"VT"
0.953890722066813,0.0558587476375671,-0.0167207157845509,4.81784164799901,9,"IL",9000,2014,"donor_1",1,"VT"
0.952243458506041,0.0589074969925035,-0.0125568010698637,4.79752545993586,10,"IL",10000,2014,"donor_1",11,"VT"
0.807993213636993,0.000977416640943196,0.0278663165575397,4.70639134918064,3,"IN",3000,2014,"donor_1",6,"VT"
0.807993213636993,0.000977416640943196,0.0278663165575397,4.70639134918064,3,"IN",3000,2014,"donor_1",6,"VT"
0.807993213636993,0.000977416640943196,0.0278663165575397,4.70639134918064,3,"IN",3000,2014,"donor_1",19,"VT"
0.812180233342181,0.000560923709747548,0.0251546326924628,4.71884044230018,4,"IN",4000,2014,"donor_1",13,"VT"
0.842301323903315,0.000951061668456932,0.0169779053084541,4.75678096358773,5,"IN",5000,2014,"donor_1",5,"VT"
0.820119076606194,0.000764812568277873,0.017506614124714,4.75430928232536,6,"IN",6000,2014,"donor_1",5,"VT"
0.911740726727902,0.000643944232756414,0.00789154634601757,4.79966436656649,7,"IN",7000,2014,"donor_1",2,"VT"
0.818680383849154,0.000691833963195868,0.0399256698171822,4.6518143370872,8,"IN",8000,2014,"donor_1",5,"VT"
0.857507094548624,0.000822558330279703,0.0124578721865793,4.77801721262047,9,"IN",9000,2014,"donor_1",16,"VT"
0.890501583630882,0.00035701570194228,0.0253448693347805,4.71796493554316,10,"IN",10000,2014,"donor_1",6,"VT"
0.981315850894342,0.0067097500273217,0.0121868816405147,4.52885215785007,3,"KY",3000,2014,"donor_1",7,"VT"
0.981315850894342,0.0067097500273217,0.0121868816405147,4.52885215785007,3,"KY",3000,2014,"donor_1",17,"VT"
0.981315850894342,0.0067097500273217,0.0121868816405147,4.52885215785007,3,"KY",3000,2014,"donor_1",7,"VT"
0.981315850894342,0.0067097500273217,0.0121868816405147,4.52885215785007,3,"KY",3000,2014,"donor_1",15,"VT"
0.981315850894342,0.0067097500273217,0.0121868816405147,4.52885215785007,3,"KY",3000,2014,"donor_1",15,"VT"
0.976923358084906,0.00646284875789323,0.00194764903087878,4.57513398778773,4,"KY",4000,2014,"donor_1",18,"VT"
0.974748068447343,0.00725219982632297,0.0133082949605358,4.52384014407354,5,"KY",5000,2014,"donor_1",17,"VT"
0.982094591971035,0.00754851459344992,0.00335207567575465,4.56873001431511,6,"KY",6000,2014,"donor_1",7,"VT"
0.970019011417068,0.008424403090826,0.0155614817819079,4.51380327562444,7,"KY",7000,2014,"donor_1",17,"VT"
0.983445506787734,0.00837103005228623,0.00358215995818018,4.5676825734489,8,"KY",8000,2014,"donor_1",15,"VT"
0.98679695788723,0.0089839856786994,0.010186986127403,4.53781805350544,9,"KY",9000,2014,"donor_1",6,"VT"
0.985365472575805,0.00872625068032432,0.0109259291681812,4.53450110517698,10,"KY",10000,2014,"donor_1",6,"VT"
0.854855061807429,0.0015420339082514,-0.0367481944508817,3.61937638187197,3,"MI",3000,2014,"donor_1",11,"VT"
0.854855061807429,0.0015420339082514,-0.0367481944508817,3.61937638187197,3,"MI",3000,2014,"donor_1",7,"VT"
0.854855061807429,0.0015420339082514,-0.0367481944508817,3.61937638187197,3,"MI",3000,2014,"donor_1",7,"VT"
0.854855061807429,0.0015420339082514,-0.0367481944508817,3.61937638187197,3,"MI",3000,2014,"donor_1",19,"VT"
0.759598800727187,0.00107774146784837,-0.0365614873324874,3.61867497402315,4,"MI",4000,2014,"donor_1",2,"VT"
0.759598800727187,0.00107774146784837,-0.0365614873324874,3.61867497402315,4,"MI",4000,2014,"donor_1",17,"VT"
0.879541949011393,0.000615968215030035,-0.0392866366939783,3.62893966916694,5,"MI",5000,2014,"donor_1",7,"VT"
0.882987305271212,0.00183303031322268,-0.0332728107351927,3.60636472576238,6,"MI",6000,2014,"donor_1",7,"VT"
0.820960959420805,0.00123662848725592,-0.0366415135309272,3.61897557738693,7,"MI",7000,2014,"donor_1",11,"VT"
0.877729467875694,0.00194892487658479,-0.0352113651790067,3.61361101174961,8,"MI",8000,2014,"donor_1",17,"VT"
0.848953292024974,0.00246189718216213,-0.0386619880108824,3.62658169272462,9,"MI",9000,2014,"donor_1",2,"VT"
0.888138952407937,0.00269036779104548,-0.0327839552187738,3.60454197757709,10,"MI",10000,2014,"donor_1",17,"VT"
0.921126624809595,0.000988074522645562,-0.00964614512142311,2.84415409940371,3,"MN",3000,2014,"donor_1",18,"VT"
0.921126624809595,0.000988074522645562,-0.00964614512142311,2.84415409940371,3,"MN",3000,2014,"donor_1",12,"VT"
0.985155544082614,0.0016015844632397,-0.0191409950208139,2.8716859017601,4,"MN",4000,2014,"donor_1",4,"VT"
0.985155544082614,0.0016015844632397,-0.0191409950208139,2.8716859017601,4,"MN",4000,2014,"donor_1",8,"VT"
0.931755255207529,0.000711369847788745,-0.0526965422028478,2.97340725723005,5,"MN",5000,2014,"donor_1",10,"VT"
0.931755255207529,0.000711369847788745,-0.0526965422028478,2.97340725723005,5,"MN",5000,2014,"donor_1",19,"VT"
0.915668106432809,0.000819600129033926,-0.0173626145494662,2.86648871488002,6,"MN",6000,2014,"donor_1",8,"VT"
0.949286384496033,0.000179339475724756,-0.018424422822546,2.86958950661009,7,"MN",7000,2014,"donor_1",21,"VT"
0.928921202810404,0.00180640681753682,-0.0248386516166033,2.88846454064517,8,"MN",8000,2014,"donor_1",20,"VT"
0.928921202810404,0.00180640681753682,-0.0248386516166033,2.88846454064517,8,"MN",8000,2014,"donor_1",10,"VT"
0.968289491267469,0.00131076909385826,-0.0335480237964956,2.91449450729878,9,"MN",9000,2014,"donor_1",10,"VT"
0.981632492100093,0.00138617783987249,-0.0292295790795258,2.9015294610464,10,"MN",10000,2014,"donor_1",9,"VT"
0.211134107553662,0.00279373380715716,0.042940714727394,3.47072217637423,3,"MO",3000,2014,"donor_1",21,"VT"
0.211134107553662,0.00279373380715716,0.042940714727394,3.47072217637423,3,"MO",3000,2014,"donor_1",1,"VT"
0.211134107553662,0.00279373380715716,0.042940714727394,3.47072217637423,3,"MO",3000,2014,"donor_1",21,"VT"
0.667921027682122,0.000993558848400171,0.0371827420325346,3.48999006689451,4,"MO",4000,2014,"donor_1",3,"VT"
0.611085900440345,0.00148473079104749,0.0407345550743366,3.47807944840402,5,"MO",5000,2014,"donor_1",8,"VT"
0.578470036472907,0.00151102682759482,0.0350261947796061,3.49726169782469,6,"MO",6000,2014,"donor_1",10,"VT"
0.608486928742333,0.00359725880417168,0.0549280697211831,3.43128367814182,7,"MO",7000,2014,"donor_1",9,"VT"
0.692339660104436,0.00467878836260205,0.0369597674571524,3.49074050975418,8,"MO",8000,2014,"donor_1",18,"VT"
0.648641266242196,0.00530858454989865,0.0478605455863315,3.45442671975259,9,"MO",9000,2014,"donor_1",4,"VT"
0.584747076805762,0.00473512680341918,0.0410801257191618,3.47692495306015,10,"MO",10000,2014,"donor_1",3,"VT"
0.571072098540222,0.00550636396406382,0.0231595803718273,4.36874752791067,3,"MS",3000,2014,"donor_1",4,"VT"
0.668343495134268,0.0137850871649298,0.0261759463764261,4.35590592743036,4,"MS",4000,2014,"donor_1",15,"VT"
0.643569807911118,0.0230087254029389,0.0342884779578386,4.32174000065555,5,"MS",5000,2014,"donor_1",10,"VT"
0.637699881281975,0.0325696723845095,0.0369221967007755,4.31076304628227,6,"MS",6000,2014,"donor_1",7,"VT"
0.584737278517488,0.0359843063861353,0.0321440064765493,4.33071922072833,7,"MS",7000,2014,"donor_1",18,"VT"
0.708533041180929,0.0446100440049783,0.050020207353291,4.25699034752346,8,"MS",8000,2014,"donor_1",9,"VT"
0.624232823376432,0.0496218349982071,0.0403386413462029,4.29660661419193,9,"MS",9000,2014,"donor_1",7,"VT"
0.735564633218763,0.0579746784455885,0.0408682578342818,4.29442040696682,10,"MS",10000,2014,"donor_1",16,"VT"
0.995705726769904,0.00893865234132033,-0.00898485777791012,5.33423569257456,3,"NC",3000,2014,"donor_1",2,"VT"
0.995705726769904,0.00893865234132033,-0.00898485777791012,5.33423569257456,3,"NC",3000,2014,"donor_1",1,"VT"
0.995705726769904,0.00893865234132033,-0.00898485777791012,5.33423569257456,3,"NC",3000,2014,"donor_1",14,"VT"
0.933397172443101,0.0116054238402639,0.00273917497001038,5.27186777526771,4,"NC",4000,2014,"donor_1",3,"VT"
0.933397172443101,0.0116054238402639,0.00273917497001038,5.27186777526771,4,"NC",4000,2014,"donor_1",5,"VT"
0.958481835087608,0.0121603398572127,-0.00258311031145059,5.29999882513882,5,"NC",5000,2014,"donor_1",2,"VT"
0.94085215761868,0.0167415029694216,-0.00156356895486443,5.29458679506453,6,"NC",6000,2014,"donor_1",1,"VT"
0.94085215761868,0.0167415029694216,-0.00156356895486443,5.29458679506453,6,"NC",6000,2014,"donor_1",3,"VT"
0.94671930025912,0.025195774396165,-0.00864703264576317,5.33241793549198,7,"NC",7000,2014,"donor_1",1,"VT"
0.909900637211154,0.0384774599544574,-0.0120806683232173,5.35095141275406,8,"NC",8000,2014,"donor_1",2,"VT"
0.897536304059943,0.0404660877153988,-0.00118266030805949,5.29256765321411,9,"NC",9000,2014,"donor_1",2,"VT"
0.901339174838407,0.0431003269044958,-0.00157638592831112,5.29465476278625,10,"NC",10000,2014,"donor_1",2,"VT"
0.940641908171051,0.000462182346132045,-0.0609419662166669,3.42119504736912,3,"NJ",3000,2014,"donor_1",8,"VT"
0.940641908171051,0.000462182346132045,-0.0609419662166669,3.42119504736912,3,"NJ",3000,2014,"donor_1",18,"VT"
0.952460197574471,0.000811266364746969,-0.100303455597798,3.57087143922108,4,"NJ",4000,2014,"donor_1",11,"VT"
0.86977145430947,0.000635915423777056,-0.0675592237692749,3.44547426095914,5,"NJ",5000,2014,"donor_1",20,"VT"
0.86977145430947,0.000635915423777056,-0.0675592237692749,3.44547426095914,5,"NJ",5000,2014,"donor_1",18,"VT"
0.909198079743149,0.000640815055617564,-0.0503261338923838,3.38295156793086,6,"NJ",6000,2014,"donor_1",20,"VT"
0.966754520226666,0.000380447214779996,-0.0776641318153185,3.48322211592495,7,"NJ",7000,2014,"donor_1",1,"VT"
0.982302268424346,0.000681151553847366,-0.0744843225345394,3.47125475299322,8,"NJ",8000,2014,"donor_1",15,"VT"
0.944136407465989,0.000645693213565298,-0.0700003502708376,3.45451817676204,9,"NJ",9000,2014,"donor_1",8,"VT"
0.989881863850068,0.000414015715863599,-0.0793946632148256,3.48976979167938,10,"NJ",10000,2014,"donor_1",14,"VT"
0.658269503133042,0.00177518161402597,-0.035341312603763,4.32524840680126,3,"OH",3000,2014,"donor_1",6,"VT"
0.658269503133042,0.00177518161402597,-0.035341312603763,4.32524840680126,3,"OH",3000,2014,"donor_1",6,"VT"
0.854931297334924,0.0010509953471262,-0.0101654508124408,4.2152382478387,4,"OH",4000,2014,"donor_1",18,"VT"
0.762875020006341,0.000822059243951068,-0.0499756331363273,4.39187519425626,5,"OH",5000,2014,"donor_1",10,"VT"
0.798026576569945,0.000521752951400815,-0.0309769433016261,4.30576798139727,6,"OH",6000,2014,"donor_1",5,"VT"
0.877954651340209,0.000636044778413466,-0.0228994078013171,4.27017288095059,7,"OH",7000,2014,"donor_1",10,"VT"
0.827968809835716,0.000590497571414198,-0.0337520350845162,4.31813427015345,8,"OH",8000,2014,"donor_1",1,"VT"
0.817333363119201,0.000527859506907258,-0.0288980165816759,4.29655023057473,9,"OH",9000,2014,"donor_1",8,"VT"
0.828974546661471,0.000512936263140603,-0.0403605665200187,4.34787098695712,10,"OH",10000,2014,"donor_1",5,"VT"
0.964485771120863,0.00122682008829141,0.0502338853817524,3.39802715186833,3,"OR",3000,2014,"donor_1",2,"VT"
0.964485771120863,0.00122682008829141,0.0502338853817524,3.39802715186833,3,"OR",3000,2014,"donor_1",20,"VT"
0.964485771120863,0.00122682008829141,0.0502338853817524,3.39802715186833,3,"OR",3000,2014,"donor_1",16,"VT"
0.964485771120863,0.00122682008829141,0.0502338853817524,3.39802715186833,3,"OR",3000,2014,"donor_1",20,"VT"
0.962158454800226,0.000811971420402976,0.0226925968703453,3.48953661076692,4,"OR",4000,2014,"donor_1",2,"VT"
0.981391614578306,0.00090783557962193,0.024205986107577,3.48438039490674,5,"OR",5000,2014,"donor_1",8,"VT"
0.980483090835926,0.00121679277241353,0.0429881615613231,3.42163352362225,6,"OR",6000,2014,"donor_1",12,"VT"
0.979404525762902,0.00035942719279262,0.0281054918685883,3.47116447345611,7,"OR",7000,2014,"donor_1",12,"VT"
0.983239462003224,0.000896830473910093,0.0362081134114352,3.44402172898483,8,"OR",8000,2014,"donor_1",3,"VT"
0.990930256996219,0.000768548382783581,0.0329069832414106,3.45502868723009,9,"OR",9000,2014,"donor_1",8,"VT"
0.992270342058578,0.00053647441498265,0.030059445101113,3.46457990877318,10,"OR",10000,2014,"donor_1",1,"VT"
0.841154558381397,0.0226506187367852,-0.0848240897781145,3.95188898031456,3,"PA",3000,2014,"donor_1",11,"VT"
0.841154558381397,0.0226506187367852,-0.0848240897781145,3.95188898031456,3,"PA",3000,2014,"donor_1",4,"VT"
0.882502934949935,0.0311365953549949,-0.0832356153388381,3.9450415561158,4,"PA",4000,2014,"donor_1",11,"VT"
0.882502934949935,0.0311365953549949,-0.0832356153388381,3.9450415561158,4,"PA",4000,2014,"donor_1",11,"VT"
0.919049348429837,0.0426248989110293,-0.0760399316262833,3.9143180733135,5,"PA",5000,2014,"donor_1",7,"VT"
0.93567130019753,0.0500113779396586,-0.0608311480682406,3.85093009336516,6,"PA",6000,2014,"donor_1",11,"VT"
0.935974990995816,0.0627288680046072,-0.0527044961356113,3.81789376166296,7,"PA",7000,2014,"donor_1",20,"VT"
0.934884073828215,0.0641694911064464,-0.0557299814527009,3.83012647189545,8,"PA",8000,2014,"donor_1",17,"VT"
0.884549670675627,0.0718302924951197,-0.0470359050594193,3.79518348472586,9,"PA",9000,2014,"donor_1",16,"VT"
0.858188454943747,0.0756346608106855,-0.0523441139994777,3.81644186258262,10,"PA",10000,2014,"donor_1",7,"VT"
