"treated_state","state_id","ban_year","sample_size","att","rsq","mape","attempt","type"
"M1","M1",2015,3,-0.137357161970395,NA,NA,75,"disposal"
"M2","M2",2016,3,-0.00767688193718026,NA,NA,75,"disposal"
"M3","M3",2009,3,-0.0682578841104485,NA,NA,75,"disposal"
"M1","M1",2015,3,-0.124843985341832,NA,NA,76,"disposal"
"M2","M2",2016,3,-0.0035209816149327,NA,NA,76,"disposal"
"M3","M3",2009,3,-0.0645351639625792,NA,NA,76,"disposal"
"M1","M1",2015,3,-0.121258002980724,NA,NA,77,"disposal"
"M2","M2",2016,3,-0.0519020618006823,NA,NA,77,"disposal"
"M3","M3",2009,3,-0.0424236784273487,NA,NA,77,"disposal"
"M1","M1",2015,3,0.159064663566003,NA,NA,78,"disposal"
"M2","M2",2016,3,-0.0010518008091764,NA,NA,78,"disposal"
"M3","M3",2009,3,-0.0364996461274577,NA,NA,78,"disposal"
"M1","M1",2015,3,-0.184172958848238,NA,NA,79,"disposal"
"M2","M2",2016,3,-0.0237219017176548,NA,NA,79,"disposal"
"M3","M3",2009,3,-0.0828916370143449,NA,NA,79,"disposal"
"M1","M1",2015,3,-0.0485104587625287,NA,NA,80,"disposal"
"M2","M2",2016,3,-0.0127187729240935,NA,NA,80,"disposal"
"M3","M3",2009,3,-0.0165105196318643,NA,NA,80,"disposal"
"M1","M1",2015,3,-0.124700540324622,NA,NA,81,"disposal"
"M2","M2",2016,3,-0.0448958153252846,NA,NA,81,"disposal"
"M3","M3",2009,3,-0.0682578841104485,NA,NA,81,"disposal"
"M1","M1",2015,3,-0.156452321889572,NA,NA,82,"disposal"
"M2","M2",2016,3,-0.0204154143461265,NA,NA,82,"disposal"
"M3","M3",2009,3,-0.0626476856100253,NA,NA,82,"disposal"
"M1","M1",2015,3,-0.112091307989699,NA,NA,83,"disposal"
"M2","M2",2016,3,-0.00487888952175628,NA,NA,83,"disposal"
"M3","M3",2009,3,-0.0343943855901369,NA,NA,83,"disposal"
"M1","M1",2015,3,-0.179873748759742,NA,NA,84,"disposal"
"M2","M2",2016,3,-0.00241218288681269,NA,NA,84,"disposal"
"M3","M3",2009,3,0.0128190286219057,NA,NA,84,"disposal"
"M1","M1",2015,3,-0.16472211426053,NA,NA,85,"disposal"
"M2","M2",2016,3,-0.00692092763178047,NA,NA,85,"disposal"
