"attempt","att2","treated_location","treated_state_2"
6,0.0629758195071843,"IA","MA"
7,0.0341546121622227,"IA","MA"
8,0.0242991717712393,"IA","MA"
9,0.0178072879388198,"IA","MA"
10,0.0678789306518251,"IA","MA"
11,0.00850472780482486,"IA","MA"
12,-0.0134469547900125,"IA","MA"
13,0.0227556324928606,"IA","MA"
14,0.0127237713638303,"IA","MA"
15,0.00592027783395108,"IA","MA"
16,0.0310226434954788,"IA","MA"
17,-0.0269629534214816,"IA","MA"
18,0.0312468428847715,"IA","MA"
19,0.0557823465537715,"IA","MA"
20,-0.00205597740298953,"IA","MA"
21,-0.0215930731420467,"IA","MA"
22,-0.00990854919641555,"IA","MA"
23,0.020542206209101,"IA","MA"
24,0.0418045694454434,"IA","MA"
25,0.0310443444937088,"IA","MA"
26,0.0283585618814659,"IA","MA"
27,-0.00639610624155339,"IA","MA"
28,0.00553302349817491,"IA","MA"
29,0.0108140248246854,"IA","MA"
30,0.000109202342374304,"IA","MA"
31,0.0114782745856094,"IA","MA"
32,0.0165308111972345,"IA","MA"
33,0.0660125700474386,"IA","MA"
34,0.0311839746337508,"IA","MA"
35,0.0499614702735121,"IA","MA"
36,0.00724245124026837,"IA","MA"
37,0.0555134606151334,"IA","MA"
38,-0.020065622454915,"IA","MA"
39,0.0580802214268816,"IA","MA"
40,0.0549491933294597,"IA","MA"
41,0.0198500298104686,"IA","MA"
42,0.0305647887261483,"IA","MA"
43,-0.00318823275994076,"IA","MA"
44,0.0260234154294639,"IA","MA"
45,0.0412747132756826,"IA","MA"
46,0.0635435497206095,"IA","MA"
47,0.0325921521261608,"IA","MA"
48,0.023096275597288,"IA","MA"
49,0.0786019147519445,"IA","MA"
50,0.0488919821385698,"IA","MA"
1,0.0215815855955572,"IL","MA"
2,0.0687927477648776,"IL","MA"
3,0.11704094534372,"IL","MA"
4,-0.0869362807038154,"IL","MA"
5,-0.0733431355891476,"IL","MA"
6,-0.0797452773553319,"IL","MA"
7,0.117213788214873,"IL","MA"
8,0.0708036652472354,"IL","MA"
9,0.0652898501667643,"IL","MA"
10,0.105216016018737,"IL","MA"
11,0.150124151926102,"IL","MA"
12,0.141398495619701,"IL","MA"
13,-0.0183757112190564,"IL","MA"
14,-0.0217012813746143,"IL","MA"
15,-0.0217012813746143,"IL","MA"
16,-0.0774090273883915,"IL","MA"
17,0.00838424857460209,"IL","MA"
18,0.079452074774928,"IL","MA"
19,-0.0155989933001389,"IL","MA"
20,-0.0516069911014846,"IL","MA"
21,-0.0120561340783415,"IL","MA"
22,0.0224389032575703,"IL","MA"
23,0.00785216404730973,"IL","MA"
24,-0.0370212819676386,"IL","MA"
25,0.0203323616478676,"IL","MA"
26,-0.0233985704156745,"IL","MA"
27,-0.0393264417235391,"IL","MA"
28,0.0279424317663882,"IL","MA"
29,0.0365165729755922,"IL","MA"
30,0.027479331550574,"IL","MA"
31,0.0641034927368374,"IL","MA"
32,0.0433214398816445,"IL","MA"
33,-0.0851523924121178,"IL","MA"
34,-0.0851523924121178,"IL","MA"
35,-0.0707498029843332,"IL","MA"
36,-0.038777823558447,"IL","MA"
37,-0.057070536541726,"IL","MA"
38,0.167787775932071,"IL","MA"
39,-0.0572370619128184,"IL","MA"
40,-0.00744808777253852,"IL","MA"
41,0.129381212145171,"IL","MA"
42,0.142817308972715,"IL","MA"
43,0.0452938782940341,"IL","MA"
44,-0.00947880325300725,"IL","MA"
45,-0.0935484236958732,"IL","MA"
46,-0.0743016242083101,"IL","MA"
47,0.124865079237787,"IL","MA"
48,0.0615698664986074,"IL","MA"
49,-0.0454416654637931,"IL","MA"
50,0.024211338283891,"IL","MA"
1,-0.228842658853172,"IN","MA"
2,-0.210989508984271,"IN","MA"
3,-0.254951770033913,"IN","MA"
4,-0.219470816158543,"IN","MA"
5,-0.233971226281779,"IN","MA"
6,-0.188915708154291,"IN","MA"
7,-0.22349916546444,"IN","MA"
8,-0.225783002124037,"IN","MA"
9,-0.221234904207731,"IN","MA"
10,-0.213050049865701,"IN","MA"
11,-0.21240227082306,"IN","MA"
12,-0.256689310671531,"IN","MA"
13,-0.201028333669884,"IN","MA"
14,-0.199044524881213,"IN","MA"
15,-0.223838167096874,"IN","MA"
16,-0.210452045324913,"IN","MA"
17,-0.195052099302198,"IN","MA"
18,-0.195052099302198,"IN","MA"
19,-0.208890584605182,"IN","MA"
20,-0.211124723135881,"IN","MA"
21,-0.216281653439173,"IN","MA"
22,-0.194445052029266,"IN","MA"
23,-0.167747201615715,"IN","MA"
24,-0.238247492941233,"IN","MA"
25,-0.22077823334349,"IN","MA"
26,-0.22077823334349,"IN","MA"
27,-0.203676690428379,"IN","MA"
28,-0.252554571064162,"IN","MA"
29,-0.153413937867333,"IN","MA"
30,-0.173732363076045,"IN","MA"
31,-0.163913153519368,"IN","MA"
32,-0.210434416071782,"IN","MA"
33,-0.198101683232224,"IN","MA"
34,-0.249241521437917,"IN","MA"
35,-0.225170506370565,"IN","MA"
36,-0.178479521157623,"IN","MA"
37,-0.206383594552028,"IN","MA"
38,-0.18476574055808,"IN","MA"
39,-0.223869646691083,"IN","MA"
40,-0.185654274498497,"IN","MA"
41,-0.233656221814448,"IN","MA"
42,-0.190247484935126,"IN","MA"
43,-0.239971489994424,"IN","MA"
44,-0.175569218512614,"IN","MA"
45,-0.218114458246732,"IN","MA"
46,-0.22681040031249,"IN","MA"
47,-0.217990452192304,"IN","MA"
48,-0.191152178254473,"IN","MA"
49,-0.163300567633559,"IN","MA"
50,-0.234252259749656,"IN","MA"
1,0.2447873949389,"KY","MA"
2,0.135703455272308,"KY","MA"
3,0.130835784403961,"KY","MA"
4,0.235985090499707,"KY","MA"
5,0.221861190442339,"KY","MA"
6,0.176380946317581,"KY","MA"
7,0.16830762470808,"KY","MA"
