"county_id","attempt","actual_treatment_effect","seed","mape"
"sanfranciscoM3",1,0.491806807063729,90,0.9051
"seattleM1",1,-15.3316415497935,90,0.0306
"boulderM2",1,-2.06713501187793,91,0.1241
"sanfranciscoM3",1,3.10362874991407,91,1.4193
"seattleM1",1,-19.4989879446472,91,0.0794
"boulderM2",1,-3.2530106799024,92,0.0448
"sanfranciscoM3",1,-2.01160826787064,92,1.3663
"seattleM1",1,-14.1606912969248,92,0.038
"boulderM2",1,-2.96319440453062,93,0.023
"sanfranciscoM3",1,0.491806807063716,93,0.9051
"seattleM1",1,-12.5860269782721,93,0.0437
"boulderM2",1,-2.7554699939966,94,0.0436
"sanfranciscoM3",1,0.491806807063716,94,0.9051
"seattleM1",1,-20.063699206973,94,0.1188
"boulderM2",1,-0.650939230308846,95,0.0215
"sanfranciscoM3",1,0.491806807063729,95,0.9051
"seattleM1",1,-18.3955363581539,95,0.0319
"boulderM2",1,-6.68493348041289,96,0.0543
"sanfranciscoM3",1,-2.58690552286764,96,1.4435
"seattleM1",1,-20.2367171758783,96,0.0349
"boulderM2",1,-3.2530106799024,97,0.0448
"sanfranciscoM3",1,-2.18652507398524,97,1.6097
"seattleM1",1,-15.5612937530251,97,0.0621
"boulderM2",1,-3.40582058729634,98,0.0904
"sanfranciscoM3",1,3.10362874991407,98,1.4193
"seattleM1",1,-20.4567070475092,98,0.0589
"boulderM2",1,-4.35052779223011,99,0.0497
"sanfranciscoM3",1,0.491806807063729,99,0.9051
"seattleM1",1,-20.8245589155902,99,0.0557
"boulderM2",1,-1.76321202382667,100,0.0719
"sanfranciscoM3",1,3.10362874991408,100,1.4193
"seattleM1",1,-13.1814839491965,100,0.029
