"year","treated_state","intercept2","intercept","ban_year","attempt","y","effect_size","location","tons_pc","y_first","y_last","ylab","label","xlab"
2013,"RI",-0.209232325642226,-0.209107443576875,2016,1,0.370336850629983,NA,"Synthetic",0.161104524987757,NA,NA,NA,NA,NA
2013,"RI",-0.209232325642226,-0.209107443576875,2016,1,0.370336850629983,NA,"Actual",0.173232326569448,NA,NA,NA,NA,NA
2013,"RI",-0.209232325642226,-0.209107443576875,2016,1,0.370336850629983,NA,"Our Exp.",NA,NA,NA,NA,NA,NA
2013,"VT",-0.17591184650157,-0.175082363452592,2014,1,0.351006576673929,NA,"Synthetic",0.175094730172359,NA,NA,NA,NA,NA
2013,"VT",-0.17591184650157,-0.175082363452592,2014,1,0.351006576673929,NA,"Actual",0.172606281025422,NA,NA,NA,NA,NA
2013,"VT",-0.17591184650157,-0.175082363452592,2014,1,0.351006576673929,NA,"Our Exp.",NA,NA,NA,NA,NA,NA
2014,"CA",-0.125941822793862,-0.125822454785275,2016,1,0.300366443110483,NA,"Synthetic",0.17442462031662,NA,NA,NA,NA,NA
2014,"CA",-0.125941822793862,-0.125822454785275,2016,1,0.300366443110483,NA,"Actual",0.195313554416033,NA,NA,NA,NA,NA
2014,"CA",-0.125941822793862,-0.125822454785275,2016,1,0.300366443110483,NA,"Our Exp.",NA,NA,NA,NA,NA,NA
2014,"CT",-0.0894097385278503,-0.0894176135568063,2014,1,0.439346806890641,0.140695825265472,"Synthetic",0.349937068362791,NA,NA,NA,NA,NA
2014,"CT",-0.0894097385278503,-0.0894176135568063,2014,1,0.439346806890641,0.140695825265472,"Actual",0.279282828947016,NA,NA,NA,NA,NA
2014,"CT",-0.0894097385278503,-0.0894176135568063,2014,1,0.439346806890641,0.140695825265472,"Our Exp.",0.300702383738508,NA,NA,NA,NA,NA
2014,"MA",-0.325204861195862,-0.325227280792317,2014,1,0.515430888988132,0.136933006134342,"Synthetic",0.19022602779227,NA,NA,NA,NA,NA
2014,"MA",-0.325204861195862,-0.325227280792317,2014,1,0.515430888988132,0.136933006134342,"Actual",0.118057481456908,NA,NA,NA,NA,NA
2014,"MA",-0.325204861195862,-0.325227280792317,2014,1,0.515430888988132,0.136933006134342,"Our Exp.",0.16417780596168,NA,NA,NA,NA,NA
2014,"RI",-0.209232325642226,-0.209107443576875,2016,1,0.372372251489976,NA,"Synthetic",0.16313992584775,NA,NA,NA,NA,NA
