"sample_size","county_id","ban_year","att","rsq","mape","attempt"
9,"seattleM1",2015,0.0767697962813965,0.769746713912815,3.81075412660344e-05,2
10,"boulderM2",2016,0.430944467198084,0.0768257522165259,0.513618393207813,2
10,"seattleM1",2015,0.0564308474483338,0.301628572403,4.98282575815158e-05,2
3,"boulderM2",2016,0.413473135585358,0.157934202382591,0.419762666016655,3
3,"seattleM1",2015,0.167206750351351,0.557018239138325,1.86133748272323e-05,3
4,"boulderM2",2016,0.522370115103357,0.197429062432823,0.486785854623432,3
4,"seattleM1",2015,0.120391870768778,0.84358714990522,4.84707278917318e-05,3
5,"boulderM2",2016,0.50596385815671,0.0880811119221319,0.463720362084795,3
5,"seattleM1",2015,0.100700106465968,0.653153450873884,0.000130176315739645,3
6,"boulderM2",2016,0.608199743926609,0.0381884808423436,0.468482490040236,3
6,"seattleM1",2015,0.123300273852634,0.408455259859082,9.19737384849841e-05,3
7,"boulderM2",2016,0.445357978654867,0.12654833465112,0.493918553072317,3
7,"seattleM1",2015,0.000351055211113467,0.794715324527493,1.35439165785859e-05,3
8,"boulderM2",2016,0.417035683950792,0.0659105622872684,0.486152723766505,3
8,"seattleM1",2015,0.0760895569981274,0.402062582725629,5.32473774751243e-05,3
9,"boulderM2",2016,0.550341033903146,0.0855661035976937,0.48830966373886,3
9,"seattleM1",2015,0.144109244068667,0.836364351155478,7.46323975109223e-06,3
10,"boulderM2",2016,0.48713331003948,0.00930318136288222,0.493601558645493,3
10,"seattleM1",2015,0.0605514884865066,0.924366963800725,9.99172170291816e-08,3
3,"boulderM2",2016,0.465453397265979,0.076247197773977,0.424640517957649,4
3,"seattleM1",2015,0.13810167528939,0.184414584814642,0.000157360742257951,4
4,"boulderM2",2016,0.365958703872553,0.118107694558713,0.406012091293967,4
4,"seattleM1",2015,0.134903310468933,0.360503280699538,0.000163708719836093,4
5,"boulderM2",2016,0.508234949903219,0.0397506277517,0.480468019130926,4
5,"seattleM1",2015,0.164864348716759,0.846540152844063,1.42182038154719e-05,4
6,"boulderM2",2016,0.45890000323769,0.0342466415850564,0.473602336033462,4
6,"seattleM1",2015,0.100051643602943,0.424196799416483,8.83086373746884e-05,4
7,"boulderM2",2016,0.496123203040777,0.0728146217019375,0.486712728901995,4
7,"seattleM1",2015,0.10986535875597,0.492508645528199,1.82200618250766e-05,4
8,"boulderM2",2016,0.495944291820479,0.117575095357854,0.478618522136606,4
8,"seattleM1",2015,0.0686560882204731,0.153603904665154,1.84989869983059e-05,4
9,"boulderM2",2016,0.561440985697243,0.0760890523413962,0.480644224223613,4
9,"seattleM1",2015,0.014221533694716,0.807347044638644,1.29169316000389e-05,4
10,"boulderM2",2016,0.489703434253944,0.00379354495173745,0.488729494178784,4
10,"seattleM1",2015,0.00363368834890678,0.00977945119590551,1.17458554151405e-05,4
3,"boulderM2",2016,0.391792568902865,0.0259402845117397,0.408265090510445,5
3,"seattleM1",2015,0.053739298161568,0.822396951982667,1.76946566879928e-05,5
4,"boulderM2",2016,0.507095209811535,0.238812008263913,0.435292864690065,5
4,"seattleM1",2015,0.115236395210729,0.263324239168266,0.00011430571131041,5
