"sample_size","ban_year","att","mape","r_sq","i","treated_state"
9,2015,0.00329491926176211,0.026431256789389,-0.182240793069715,4,"All"
10,2015,-0.00114696484923549,0.0285767442349423,-0.172774956047424,4,"All"
3,2015,-0.0147953722202876,0.0025507262641216,0.394325544197193,5,"All"
4,2015,-0.0249235474812789,0.00443734604823839,0.604864173947508,5,"All"
5,2015,-0.0148023752872425,0.00586512764966329,0.542322282529845,5,"All"
6,2015,-0.0118092407782052,0.00810900992679155,0.464809476853811,5,"All"
7,2015,-0.0129302898024456,0.00982187963582546,0.459429695483704,5,"All"
8,2015,-0.00894426519582086,0.0112218782054685,0.484426465803833,5,"All"
9,2015,-0.0101320713685664,0.0128056705449301,0.30211957143207,5,"All"
10,2015,-0.00777789685480116,0.0141218730038466,0.417511041860715,5,"All"
3,2015,0.00970826250262041,0.00443045843623465,0.58019203230464,6,"All"
4,2015,-0.00137969593306854,0.00457653751142115,0.442655655274275,6,"All"
5,2015,-0.00187475896356573,0.00678975029656806,0.660793431839727,6,"All"
6,2015,0.00104311806928611,0.00911114698509757,0.520129677504238,6,"All"
7,2015,0.0141680062461647,0.011056947139757,0.503014731003632,6,"All"
8,2015,0.0123001621725036,0.0127502846598625,0.524590702198403,6,"All"
9,2015,0.0133218788325636,0.0139679038795949,0.509453135100684,6,"All"
10,2015,0.0199262976475638,0.0151188768582141,0.582840738168322,6,"All"
3,2015,0.0231880680042766,0.00162402245483819,-0.505902624797755,7,"All"
4,2015,0.0164606940275657,0.000851102662205562,-0.0432169928576418,7,"All"
5,2015,0.0180569961750396,0.00195181612814952,-0.104906378977617,7,"All"
6,2015,0.0190007037229801,0.00324418789252422,-0.5081518350738,7,"All"
7,2015,0.0266622829772479,0.00485125684620726,-0.473082293460135,7,"All"
8,2015,0.0291140015822456,0.00590667348495492,-0.46042501582672,7,"All"
9,2015,0.0266207187196951,0.00694955553928184,-0.242875158700661,7,"All"
10,2015,0.0304563701285997,0.00797501278732625,-0.187722783557841,7,"All"
3,2015,-0.0166315931659857,0.00678461504146967,0.618278996586442,8,"All"
4,2015,-0.0074443776191057,0.00751880355435364,0.833452176971587,8,"All"
5,2015,-0.0188078717421568,0.0081281306576245,0.756483854707619,8,"All"
6,2015,-0.0334551835779258,0.00857533356651109,0.789171396366723,8,"All"
7,2015,-0.0198329056189438,0.00918103122049455,0.760466587038518,8,"All"
8,2015,-0.0175187423305329,0.00962976152596818,0.74709960932165,8,"All"
9,2015,-0.020806782294916,0.0100938357566044,0.783510865875246,8,"All"
10,2015,-0.0231433786968458,0.0107347038595781,0.77588222827879,8,"All"
3,2015,-0.00738572939434697,0.00222440739570232,0.764218427085355,9,"All"
4,2015,-0.00646599456855058,0.00161101350136399,0.847350892075829,9,"All"
5,2015,-0.0168730973618178,0.00255962400724121,0.868289950353315,9,"All"
6,2015,-0.021490394105136,0.00359938137803543,0.853590186140175,9,"All"
7,2015,-0.00446860410347425,0.00479267436449476,0.856989531725621,9,"All"
8,2015,0.000891921120829015,0.00570621173258544,0.847949824737732,9,"All"
9,2015,-0.0036245991280077,0.006511734447364,0.843361580096081,9,"All"
10,2015,-0.00371656574438386,0.0075803085696971,0.878311552092797,9,"All"
3,2015,0.000529950315542112,0.00349902998022406,-0.277203329933422,10,"All"
4,2015,-0.00872255594645167,0.00453530088446456,-0.047439986945591,10,"All"
5,2015,-0.00859660673952033,0.00673121618697479,-0.216494567700687,10,"All"
6,2015,-0.00241987744953923,0.00911846416742005,-0.694675542032256,10,"All"
7,2015,0.00130906242787612,0.0113255932315632,-0.712713499716733,10,"All"
8,2015,0.00125299321931407,0.0133966020520238,-0.671347519723938,10,"All"
9,2015,0.00140363342507348,0.0147375388731738,-0.415999415662971,10,"All"
10,2015,0.0101271667379328,0.0162082670651845,-0.389183399031517,10,"All"
3,2015,0.0113231883673866,0.00587912076905339,-0.14082935163789,11,"All"
4,2015,0.0139268815368117,0.00788753905837754,0.331146559744745,11,"All"
5,2015,0.0166769319021652,0.0129673720718979,-0.0137867069176226,11,"All"
6,2015,0.0133890407923991,0.0174980815703167,-0.332709658235554,11,"All"
7,2015,0.0313996638670442,0.0214873032564809,-0.350743743515889,11,"All"
8,2015,0.0368768444206149,0.0248160467967001,-0.34220555289131,11,"All"
9,2015,0.0335899516007632,0.0272054655476765,-0.0570271856200304,11,"All"
10,2015,0.036342177050707,0.0296186914674593,-0.0754136199814321,11,"All"
3,2015,-0.00297032587514473,0.00158755717471976,-1.23112009834748,12,"All"
