county_name,municipality_name,sq_kms
placer,roseville,114.2
marin,ross,4
sacramento,sacramento,255.4
napa,st. helena,12.8
monterey,salinas,60.9
marin,san anselmo,6.9
san bernardino,san bernardino,160.9
san mateo,san bruno,14.2
san mateo,san carlos,14
orange,san clemente,47.6
san diego,san diego,844
los angeles,san dimas,38.9
los angeles,san fernando,6.1
san francisco,san francisco,121.5
los angeles,san gabriel,10.7
riverside,san jacinto,67.2
fresno,san joaquin,3.1
santa clara,san jose,461.7
san benito,san juan bautista,2
orange,san juan capistrano,37.4
alameda,san leandro,34.5
san luis obispo,san luis obispo,34.5
san diego,san marcos,63.1
los angeles,san marino,9.8
san mateo,san mateo,31.4
contra costa,san pablo,6.8
marin,san rafael,43
contra costa,san ramon,48.4
monterey,sand city,1.4
fresno,sanger,14.9
orange,santa ana,70.8
santa barbara,santa barbara,50.5
santa clara,santa clara,47.3
los angeles,santa clarita,183.2
santa cruz,santa cruz,33
los angeles,santa fe springs,22.9
santa barbara,santa maria,59.1
los angeles,santa monica,21.8
ventura,santa paula,14.3
sonoma,santa rosa,110.2
san diego,santee,42.8
santa clara,saratoga,33.1
marin,sausalito,4.6
santa cruz,scotts valley,12
orange,seal beach,29.2
monterey,seaside,23.1
sonoma,sebastopol,4.9
fresno,selma,15
kern,shafter,100.2
shasta,shasta lake,28.3
los angeles,sierra madre,7.6
los angeles,signal hill,5.7
ventura,simi valley,107.6
san diego,solana beach,8.8
monterey,soledad,11.6
santa barbara,solvang,6.3
sonoma,sonoma,7.1
tuolumne,sonora,8.2
los angeles,south el monte,7.4
los angeles,south gate,18.8
el dorado,south lake tahoe,26.4
los angeles,south pasadena,8.8
san mateo,south san francisco,23.8
orange,stanton,8
san joaquin,stockton,161.1
solano,suisun city,10.4
santa clara,sunnyvale,57.1
lassen,susanville,20.5
amador,sutter creek,7
kern,taft,39.5
kern,tehachapi,26.6
tehama,tehama,2
riverside,temecula,96.5
los angeles,temple city,10.4
ventura,thousand oaks,143.1
marin,tiburon,11.6
los angeles,torrance,53.1
san joaquin,tracy,67.1
humboldt,trinidad,1.3
nevada,truckee,83.7
tulare,tulare,52.8
