GeoName,State,County,LineCode,Description,Unit,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Choctaw, AL",AL,Choctaw,1,Personal income (thousands of dollars),Thousands of dollars,216631,231384,239357,259763,268434,270131,282363,297583,309510,310231,314517,317357,321905,325091,319141,332322,339996,346364,357061,386616,405123,434295,455864,469076,474269,473209,483967,499153,505385
"Choctaw, AL",AL,Choctaw,2,Population (persons) 1/,Number of persons,16044,16206,16228,16215,16195,16232,16162,16151,15931,15875,15677,15367,15199,14930,14545,14431,14216,14114,13976,13849,13609,13563,13397,13317,13231,13045,12925,12833,12589
"Choctaw, AL",AL,Choctaw,3,Per capita personal income (dollars) 2/,Dollars,13502,14278,14750,16020,16575,16642,17471,18425,19428,19542,20062,20652,21179,21774,21942,23028,23916,24540,25548,27917,29769,32021,34027,35224,35845,36275,37444,38896,40145
"Clarke, AL",AL,Clarke,1,Personal income (thousands of dollars),Thousands of dollars,380792,401030,417264,436402,465378,499252,515268,527342,547016,566461,554115,556593,581240,618577,636185,666554,700757,709085,713251,736266,755706,758699,786246,810900,841035,848943,852280,869079,896816
"Clarke, AL",AL,Clarke,2,Population (persons) 1/,Number of persons,27391,27522,27532,27646,27455,27503,27934,27756,27919,27819,27624,27267,27090,26958,26764,26755,26436,26283,26038,25766,25587,25155,25123,24864,24698,24340,24063,23918,23622
"Clarke, AL",AL,Clarke,3,Per capita personal income (dollars) 2/,Dollars,13902,14571,15156,15785,16951,18153,18446,18999,19593,20362,20059,20413,21456,22946,23770,24913,26508,26979,27393,28575,29535,30161,31296,32613,34053,34879,35419,36336,37965
"Clay, AL",AL,Clay,1,Personal income (thousands of dollars),Thousands of dollars,193940,207631,220795,235776,243866,251669,255742,272202,272057,271350,292395,298880,311080,340096,365660,383495,387820,399703,387864,386881,366027,368305,377671,397144,420625,420675,433762,446853,454255
"Clay, AL",AL,Clay,2,Population (persons) 1/,Number of persons,13314,13425,13518,13553,13590,13734,13963,14118,14174,14263,14298,14257,14203,14121,14077,14053,14085,14161,14006,13898,13687,13434,13404,13441,13415,13393,13350,13294,13235
"Clay, AL",AL,Clay,3,Per capita personal income (dollars) 2/,Dollars,14567,15466,16333,17397,17945,18325,18316,19280,19194,19025,20450,20964,21902,24084,25976,27289,27534,28226,27693,27837,26743,27416,28176,29547,31355,31410,32492,33613,34322
"Cleburne, AL",AL,Cleburne,1,Personal income (thousands of dollars),Thousands of dollars,188824,190500,207823,215857,225689,226797,237297,257218,265890,265101,293040,297810,306739,335121,352773,359186,379871,399857,399355,419321,429003,449635,470056,491994,513649,507354,528277,544002,533646
"Cleburne, AL",AL,Cleburne,2,Population (persons) 1/,Number of persons,12684,12850,13027,13030,13080,13254,13768,13921,14039,14172,14222,14416,14438,14339,14368,14538,14799,14874,14918,15004,14928,14889,14976,15026,14914,14848,14899,15010,14910
